apagar,campeao,dham,res_apagar,res_campeao,regra
D:\MÍDIA\2022\2022-03\2022-03-09 15.37.31 [3734af0d].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 15.37.31 [dba44433].jpg,1,6016x4016,6016x4016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 15.38.29 [92e7af94].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 15.38.29 [40d23b35].jpg,1,6016x4016,6016x4016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 15.41.00 [d73e0778].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 15.41.00 [0358cb65].jpg,1,4016x6016,4016x6016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 15.47.46 [260d41a5].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 15.47.46 [2ef9ad56].jpg,1,3923x5877,3923x5877,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 15.49.18 [71d10b93].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 15.49.18 [a2130dc8].jpg,1,4016x6016,4016x6016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 16.42.45 [6138fb15].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 16.42.45 [cea994f6].jpg,1,4016x6016,4016x6016,R2_recompressao
D:\MÍDIA\2022\2022-03\2022-03-09 16.43.55 [e23d0406].jpg,D:\MÍDIA\2022\2022-03\2022-03-09 16.43.55 [5c951583].jpg,1,4016x6016,4016x6016,R2_recompressao
D:\MÍDIA\2022\2022-05\2022-05-28 20.07.33 [7f3e1f9f].jpg,D:\MÍDIA\2022\2022-05\2022-05-28 20.07.33 [52e688f6].jpg,1,4000x3000,4000x3000,R2_recompressao
D:\MÍDIA\2022\2022-04\2022-04-28 [0169511c].jpg,D:\MÍDIA\2022\2022-04\2022-04-28 [fc47a61e].jpg,1,768x1024,768x1024,R2_recompressao
D:\MÍDIA\2022\2022-04\2022-04-28 [abcb323a].jpg,D:\MÍDIA\2022\2022-04\2022-04-28 [b99a9e80].jpg,1,1024x768,1024x768,R2_recompressao
D:\MÍDIA\2022\2022-05\2022-05-09 [461dc9b6].jpg,D:\MÍDIA\2022\2022-05\2022-05-09 [a9dd6058].jpg,1,1200x1600,1200x1600,R2_recompressao
D:\MÍDIA\2022\2022-06\2022-06-04 [fc6be9d5].jpg,D:\MÍDIA\2022\2022-06\2022-06-04 [aa347cb1].jpg,1,900x1600,900x1600,R2_recompressao
D:\MÍDIA\2022\2022-07\2022-07-19 [17c967ad].jpg,D:\MÍDIA\2022\2022-07\2022-07-19 [01b180eb].jpg,1,1200x1600,1200x1600,R2_recompressao
D:\MÍDIA\2022\2022-10\2022-10-17 [c8eb5118].jpg,D:\MÍDIA\2022\2022-10\2022-10-17 [0077e876].jpg,1,768x1024,768x1024,R2_recompressao
D:\MÍDIA\0000 SEM DATA\Documentos\2017-04-09 17.24.49 [0b502fd9].jpg,D:\MÍDIA\2016\2016-09\2016-09-03 17.28.50 [24ff90d6].jpg,2,384x512,5312x2988,R1_derivada
D:\MÍDIA\2013\2013-10\2013-10-03 15.00.35 [278e28b5].jpg,D:\MÍDIA\2013\2013-10\2013-10-03 14.59.42 [dc3b85cb].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\0000 SEM DATA\Sem ano\2013-11-02 17.07.13 [d12348d9].jpg,D:\MÍDIA\2013\2013-11\2013-11-02 18.04.43 [f61eb1d3].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2013\2013-12\2013-12-25 13.01.24 [b89ea0a9].jpg,D:\MÍDIA\2013\2013-12\2013-12-25 14.01.22 [a260f0f1].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.31.53 [6cfbc7cb].jpg,D:\MÍDIA\2015\2015-04\2015-04-29 17.40.55 [aedb6417].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.44.45 [9e604411].jpg,D:\MÍDIA\2015\2015-04\2015-04-29 17.40.55 [aedb6417].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-04 17.32.00 [fc8a17a1].jpg,D:\MÍDIA\2015\2015-04\2015-04-29 17.41.49 [f456f2f6].jpg,1,512x384,4208x3120,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-03 21.44.44 [d58eb76d].jpg,D:\MÍDIA\2015\2015-04\2015-04-29 17.41.49 [f456f2f6].jpg,0,512x384,4208x3120,R1_derivada
