"Rel","Nivel","Cat","ArqDiretos","SubPastas"
"05 - Jurídico e trabalho\GUILLON\JACIR GARCIA E CECÍLIA MARIA DE SOUZA","3","05 - Jurídico e trabalho","4","0"
"05 - Jurídico e trabalho\GUILLON\JOSE ANTONIO DE SOUZA","3","05 - Jurídico e trabalho","8","0"
"05 - Jurídico e trabalho\GUILLON\KAMILLA","3","05 - Jurídico e trabalho","11","0"
"05 - Jurídico e trabalho\PROBLEMA AEED\Cancelar acesso_arquivos","3","05 - Jurídico e trabalho","11","0"
"05 - Jurídico e trabalho\PROBLEMA AEED\RES TSE  GSTI - chamado 322643 respondido_arquivos","3","05 - Jurídico e trabalho","9","0"
"05 - Jurídico e trabalho\PROCESSOS\Azul","3","05 - Jurídico e trabalho","14","2"
"05 - Jurídico e trabalho\PROCESSOS\Unidas","3","05 - Jurídico e trabalho","7","0"
"05 - Jurídico e trabalho\PROCESSOS\Azul\Elementos para citação","4","05 - Jurídico e trabalho","3","0"
"05 - Jurídico e trabalho\PROCESSOS\Azul\Imagens","4","05 - Jurídico e trabalho","0","0"
"05 - Jurídico e trabalho\TOTALIZAÇÃO\relatoriosPF-TSE","3","05 - Jurídico e trabalho","0","3"
"05 - Jurídico e trabalho\TOTALIZAÇÃO\relatoriosPF-TSE\lacra2016","4","05 - Jurídico e trabalho","2","0"
"05 - Jurídico e trabalho\TOTALIZAÇÃO\relatoriosPF-TSE\lacra2018","4","05 - Jurídico e trabalho","4","0"
"05 - Jurídico e trabalho\TOTALIZAÇÃO\relatoriosPF-TSE\tps2019","4","05 - Jurídico e trabalho","2","0"
"05 - Jurídico e trabalho\TSE\ACERTO DE CONTAS","3","05 - Jurídico e trabalho","3","0"
"05 - Jurídico e trabalho\TSE\Certificados","3","05 - Jurídico e trabalho","0","2"
"05 - Jurídico e trabalho\TSE\CURSOS","3","05 - Jurídico e trabalho","0","7"
"05 - Jurídico e trabalho\TSE\FC's","3","05 - Jurídico e trabalho","5","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE","3","05 - Jurídico e trabalho","5","9"
"05 - Jurídico e trabalho\TSE\POSSE","3","05 - Jurídico e trabalho","38","0"
"05 - Jurídico e trabalho\TSE\Provimentos e vacâncias","3","05 - Jurídico e trabalho","6","0"
"05 - Jurídico e trabalho\TSE\REFORMA DA PREVIDÊNCIA","3","05 - Jurídico e trabalho","2","0"
"05 - Jurídico e trabalho\TSE\SEDEG","3","05 - Jurídico e trabalho","34","1"
"05 - Jurídico e trabalho\TSE\SESSÕES PLENÁRIAS","3","05 - Jurídico e trabalho","41","0"
"05 - Jurídico e trabalho\TSE\VOTO IMPRESSO","3","05 - Jurídico e trabalho","11","0"
"05 - Jurídico e trabalho\TSE\Certificados\Grupo 1 - Válido até 30.11.2024","4","05 - Jurídico e trabalho","2","0"
"05 - Jurídico e trabalho\TSE\Certificados\Grupo 2 - Em ser","4","05 - Jurídico e trabalho","0","1"
"05 - Jurídico e trabalho\TSE\Certificados\Grupo 2 - Em ser\INCLUSOS","5","05 - Jurídico e trabalho","13","0"
"05 - Jurídico e trabalho\TSE\CURSOS\Apresentações de alto impacto","4","05 - Jurídico e trabalho","13","0"
"05 - Jurídico e trabalho\TSE\CURSOS\Democracia e desinformação","4","05 - Jurídico e trabalho","7","0"
"05 - Jurídico e trabalho\TSE\CURSOS\Ilícitos eleitorais","4","05 - Jurídico e trabalho","5","0"
"05 - Jurídico e trabalho\TSE\CURSOS\Improbidade administrativa","4","05 - Jurídico e trabalho","14","0"
"05 - Jurídico e trabalho\TSE\CURSOS\SEI Enap","4","05 - Jurídico e trabalho","4","0"
"05 - Jurídico e trabalho\TSE\CURSOS\Tutelas provisórias","4","05 - Jurídico e trabalho","1","0"
"05 - Jurídico e trabalho\TSE\CURSOS\VI Congresso de Direito Eleitoral","4","05 - Jurídico e trabalho","1","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Anexos","4","05 - Jurídico e trabalho","0","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Aplicativos","4","05 - Jurídico e trabalho","0","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Arquivos de Chat do Microsoft Copilot","4","05 - Jurídico e trabalho","1","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Arquivos de Chat do Microsoft Teams","4","05 - Jurídico e trabalho","9","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos","4","05 - Jurídico e trabalho","13","12"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Imagens","4","05 - Jurídico e trabalho","0","3"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\NOTION","4","05 - Jurídico e trabalho","18","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Reuniões","4","05 - Jurídico e trabalho","2","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Área de Trabalho","4","05 - Jurídico e trabalho","22","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\13.23%","5","05 - Jurídico e trabalho","28","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\AGEL","5","05 - Jurídico e trabalho","15","10"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\ATESTADOS","5","05 - Jurídico e trabalho","7","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\CONSULTAS POPULARES","5","05 - Jurídico e trabalho","30","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\LEGISLAÇÃO TOTAL","5","05 - Jurídico e trabalho","38","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\LICENÇA CAPACITAÇÃO","5","05 - Jurídico e trabalho","8","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\NOVO CÓDIGO ELEITORAL","5","05 - Jurídico e trabalho","15","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\Planilha gerencial SEGJUR","5","05 - Jurídico e trabalho","10","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\Planilhas XLS","5","05 - Jurídico e trabalho","8","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\RESOLUÇÕES (Covid-19)","5","05 - Jurídico e trabalho","8","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\TEMAS SELECIONADOS","5","05 - Jurídico e trabalho","82","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\TESE","5","05 - Jurídico e trabalho","28","11"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\AGEL\CONCURSO","6","05 - Jurídico e trabalho","2","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\AGEL\Despachos e Informações","6","05 - Jurídico e trabalho","38","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\AGEL\GT's","6","05 - Jurídico e trabalho","1","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\AGEL\MOE","6","05 - Jurídico e trabalho","1","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\AGEL\PRESOS PROVISÓRIOS","6","05 - Jurídico e trabalho","10","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\AGEL\REGIME HÍBRIDO","6","05 - Jurídico e trabalho","6","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\AGEL\RELATÓRIO DE GESTÃO 2022","6","05 - Jurídico e trabalho","4","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\AGEL\RELATÓRIO DE GESTÃO 2023","6","05 - Jurídico e trabalho","20","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\AGEL\TERMO DE REFERÊNCIA (TR)","6","05 - Jurídico e trabalho","18","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\AGEL\TOTALIZAÇÃO","6","05 - Jurídico e trabalho","8","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\TESE\Acordo USP","6","05 - Jurídico e trabalho","3","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\TESE\ARTIGOS (a publicar)","6","05 - Jurídico e trabalho","5","0"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\TESE\Bibliografia de apoio","6","05 - Jurídico e trabalho","78","16"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\TESE\Disciplinas (créditos)","6","05 - Jurídico e trabalho","0","8"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\TESE\DISSERTAÇÃO","6","05 - Jurídico e trabalho","6","1"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\TESE\GRUPO TSE","6","05 - Jurídico e trabalho","7","5"
"05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\TESE\MARIA PIA GUERRA","6","05 - Jurídico e trabalho","56","0"
