manter_a,manter_b,dham,res_a,res_b,motivo
D:\MÍDIA\2019\2019-12\2019-12-22 21.38.01 [c5854255].jpg,D:\MÍDIA\2019\2019-12\2019-12-22 21.38.00 [4c2592f1].jpg,1,4032x1960,4032x1960,rajada/incerto
D:\MÍDIA\2019\2019-12\2019-12-22 21.39.16 [7bf7d896].jpg,D:\MÍDIA\2019\2019-12\2019-12-22 21.39.14 [614cce6e].jpg,2,4032x1960,4032x1960,rajada/incerto
D:\MÍDIA\2019\2019-12\2019-12-22 21.43.14 [d125dc33].jpg,D:\MÍDIA\2019\2019-12\2019-12-22 21.43.18 [7b6cfd24].jpg,1,4032x1960,4032x1960,rajada/incerto
D:\MÍDIA\2019\2019-12\2019-12-29 14.59.51 [cc224fb6].jpg,D:\MÍDIA\2019\2019-12\2019-12-29 14.59.52 [eebda8d8].jpg,2,4032x1960,4032x1960,rajada/incerto
D:\MÍDIA\2019\2019-12\2019-12-29 15.00.03 [3c2d09a2].jpg,D:\MÍDIA\2019\2019-12\2019-12-29 15.00.04 [fae51d4d].jpg,1,4032x1960,4032x1960,rajada/incerto
D:\MÍDIA\2019\2019-12\2019-12-29 15.00.07 [578825ef].jpg,D:\MÍDIA\2019\2019-12\2019-12-29 15.00.06 [9d22fcd4].jpg,2,4032x1960,4032x1960,rajada/incerto
D:\MÍDIA\2019\2019-12\2019-12-29 15.01.39 [9ede1b4b].jpg,D:\MÍDIA\2019\2019-12\2019-12-29 15.01.41 [0a67d5bd].jpg,2,4032x1960,4032x1960,rajada/incerto
D:\MÍDIA\2021\2021-05\2021-05-29 16.37.47 [1e327ee2].jpg,D:\MÍDIA\2021\2021-05\2021-05-29 16.37.48 [75c438cd].jpg,1,2640x1980,2640x1980,rajada/incerto
D:\MÍDIA\2021\2021-07\2021-07-15 21.11.23 [97abaa64].jpg,D:\MÍDIA\2021\2021-07\2021-07-15 21.11.26 [2b281cfa].jpg,2,4032x1960,4032x1960,rajada/incerto
D:\MÍDIA\2021\2021-11\2021-11-03 09.33.49 [6b4ebb2d].jpg,D:\MÍDIA\2013\2013-12\2013-12-18 10.05.04 [4d0e5567].jpg,3,4032x1960,4000x3000,rajada/incerto
D:\MÍDIA\2021\2021-11\2021-11-03 09.33.48 [c099782f].jpg,D:\MÍDIA\2013\2013-12\2013-12-18 10.05.04 [4d0e5567].jpg,1,4032x1960,4000x3000,rajada/incerto
D:\MÍDIA\2020\2020-02\2020-02-16 11.53.10 [50731be6].jpg,D:\MÍDIA\2016\2016-06\2016-06-22 15.42.51 [6215a010].jpg,4,4032x3024,4208x3120,rajada/incerto
D:\MÍDIA\2019\2019-07\2019-07-18 09.44.59 [e23de60b].jpg,D:\MÍDIA\2016\2016-06\2016-06-22 15.42.51 [6215a010].jpg,2,4032x3024,4208x3120,rajada/incerto
D:\MÍDIA\2014\2014-12\2014-12-23 15.08.23 [46da2c67].jpg,D:\MÍDIA\2016\2016-06\2016-06-22 15.42.51 [6215a010].jpg,3,4000x3000,4208x3120,rajada/incerto
D:\MÍDIA\2021\2021-11\2021-11-03 09.33.56 [71d5b381].jpg,D:\MÍDIA\2016\2016-06\2016-06-22 15.42.51 [6215a010].jpg,3,4032x1960,4208x3120,rajada/incerto
D:\MÍDIA\2019\2019-06\2019-06-03 16.43.02 [085d6a4b].jpg,D:\MÍDIA\2016\2016-09\2016-09-03 17.26.52 [53f78da1].jpg,4,4032x3024,5312x2988,rajada/incerto
D:\MÍDIA\2019\2019-07\2019-07-12 06.55.13 [c6bd35b5].jpg,D:\MÍDIA\2016\2016-09\2016-09-03 17.26.52 [53f78da1].jpg,3,4032x3024,5312x2988,rajada/incerto
D:\MÍDIA\0000 SEM DATA\Sem ano\2019-09-23 12.27.46 [b8360674].jpg,D:\MÍDIA\2016\2016-09\2016-09-03 17.26.52 [53f78da1].jpg,2,4032x3024,5312x2988,rajada/incerto
D:\MÍDIA\2021\2021-12\2021-12-24 21.40.58 [eff19c51].jpg,D:\MÍDIA\2021\2021-12\2021-12-24 21.40.59 [0092d7b0].jpg,1,4032x1960,4032x1960,rajada/incerto
D:\MÍDIA\2021\2021-12\2021-12-27 11.40.48 [97cf28a0].jpg,D:\MÍDIA\2021\2021-12\2021-12-27 11.40.57 [1b164d02].jpg,1,4032x1960,4032x1960,rajada/incerto
D:\MÍDIA\2021\2021-12\2021-12-28 15.59.56 [1538bc53].jpg,D:\MÍDIA\2021\2021-12\2021-12-28 15.59.58 [5eecebf5].jpg,1,4032x1960,4032x1960,rajada/incerto
D:\MÍDIA\2021\2021-12\2021-12-28 16.00.01 [b978b376].jpg,D:\MÍDIA\2021\2021-12\2021-12-28 15.59.58 [5eecebf5].jpg,3,4032x1960,4032x1960,rajada/incerto
D:\MÍDIA\2022\2022-01\2022-01-01 00.02.36 [1ddff607].jpg,D:\MÍDIA\2022\2022-01\2022-01-01 00.02.36 [978c3c6b].jpg,2,2640x1980,2640x1980,rajada/incerto
D:\MÍDIA\2022\2022-02\2022-02-18 22.13.23 [f6194453].jpg,D:\MÍDIA\2022\2022-02\2022-02-18 22.13.24 [e8508602].jpg,2,4032x1960,4032x1960,rajada/incerto
D:\MÍDIA\2022\2022-02\2022-02-19 16.55.29 [cdd381ec].jpg,D:\MÍDIA\2022\2022-02\2022-02-19 16.55.25 [d5f81df7].jpg,2,2640x1980,2640x1980,rajada/incerto
D:\MÍDIA\2016\2016-10\2016-10-29 22.49.37 [a5d12ba4].jpg,D:\MÍDIA\2016\2016-10\2016-10-29 22.49.37 [74fa077f].jpg,3,1944x2592,1944x2592,rajada/incerto
D:\MÍDIA\2016\2016-10\2016-10-29 22.49.37 [943e1cf2].jpg,D:\MÍDIA\2016\2016-10\2016-10-29 22.49.37 [74fa077f].jpg,2,1944x2592,1944x2592,rajada/incerto
