"Acao","De","Para"
"Mover","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\SESSÕES PLENÁRIAS\Prompt Parecer Emendas de Plenário REJEITA - CONLE.rtf","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Parecer Emendas de Plenário REJEITA - CONLE.rtf"
"Mover","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt - justificativa de proposição (Conle).rtf","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Justificativa de proposição (Conle).rtf"
"Mover","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt - Parecer CCJC sobre admissibilidade de PEC.rtf","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Parecer CCJC sobre admissibilidade de PEC.rtf"
"Mover","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt - Parecer de constitucionalidade - Conle.rtf","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Parecer de constitucionalidade - Conle.rtf"
"Mover","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt - Parecer de Plenário a PDL de sustação - CONLE.rtf","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Parecer de Plenário a PDL de sustação - CONLE.rtf"
"Mover","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt - Parecer de Plenário datas comemorativas (CONLE).rtf","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Parecer de Plenário datas comemorativas (CONLE).rtf"
"Mover","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt - Parecer de Plenário PRC - Conle.rtf","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Parecer de Plenário PRC - Conle.rtf"
"Mover","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt - Parecer de projeto na CCJC (mérito) - Conle.rtf","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Parecer de projeto na CCJC (mérito) - Conle.rtf"
"Mover","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt Conle - PEC 27-2024 Igualdade Racial (FNREPIR) - emenda de redação.docx","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Conle - PEC 27-2024 Igualdade Racial (FNREPIR) - emenda de redação.docx"
"Mover","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt Informação Técnica (Conle).rtf","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Informação Técnica (Conle).rtf"
"Mover","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt para explicação de Emenda parlamentar.rtf","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Explicação de Emenda parlamentar.rtf"
"Mover","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt Parecer CCJC - datas comemorativas (Conle).rtf","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Parecer CCJC - datas comemorativas (Conle).rtf"
"Mover","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt Parecer PRC Regimento mérito.rtf","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Parecer PRC Regimento mérito.rtf"
"Mover","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt parecer projeto CCJC art. 54 - CONLE.rtf","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Parecer projeto CCJC art. 54 - CONLE.rtf"
"Mover","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt relatório de Parecer (Conle).rtf","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Relatório de Parecer (Conle).rtf"
"Lixeira","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt - Explicação de DVS (Destaque para Votação em Separado) - CONLE.rtf",""
"Lixeira","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt Conle - explicação de Destaque de Emenda.rtf",""
"Lixeira","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt Parecer Emendas de Plenário que aprova.rtf",""
"Lixeira","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt Parecer Emendas de Plenário REJEITA.rtf",""
