coluna,etiqueta,cor_atual,cor_alvo,remover_se_apply
advogados,Janine Mendonça Rollo,orange,orange,0
advogados,GEOVANE COUTO DA SILVEIRA,pink,pink,0
advogados,MAYARA DE SA PEDROSA,purple,purple,0
advogados,RUBERVAL LEITE DA SILVA,pink,pink,0
advogados,RUBERVAL LEITE D,orange,orange,0
advogados,Bartolomeu Ferreira de Azevedo Júnior,gray,gray,0
advogados,VINICIUS SILVA ABREU,red,red,0
advogados,HELIO DEIVID AMORIM MALDONADO,green,green,0
advogados,CARLA VICENTE PEREIRA,brown,brown,0
advogados,PAULO CESAR DA SILVA TORRES,green,green,0
advogados,Carlos Eduardo Bozzeda Meira,orange,orange,0
advogados,RUANA MAIA SANTOS,pink,pink,0
advogados,Venancio Luiz Fernandes da Fonseca,blue,blue,0
advogados,Laura Sampaio dos Santos Silva,red,red,0
advogados,Marina Almeida Morais,blue,blue,0
advogados,GLIANE BORGES PEREIRA ALENCAR,brown,brown,0
advogados,GIOVANNI DAGOSTIN MARCHI,gray,gray,0
advogados,RAFAELA MARIA DE AGUIAR CAVALCANTI,purple,purple,0
advogados,NATALIE ARAGONE DE ALBUQUERQUE MELLO,yellow,yellow,0
advogados,PAULO ROBERTO FERNANDES PINTO JUNIOR,purple,purple,0
advogados,RENATO CICALESE BEVILAQUA,green,green,0
advogados,GUSTAVO PAULO MIRANDA DE ALBUQUERQUE FILHO,default,default,0
advogados,ADEMILSON FERREIRA DA SILVA,pink,pink,0
advogados,BRENO CARRILHO LINS DE ANDRADE,brown,brown,0
advogados,ESTEVAN DE BARROS LINS,default,default,0
advogados,FABIO HENRIQUE SANTIAGO REGES,brown,brown,0
advogados,Enzo Scatolin Camacho,green,green,0
advogados,Anderson Mestrinel de Oliveira,green,green,0
advogados,RUBENS FERNANDO MENDES DE CAMPOS,pink,pink,0
advogados,VALDENISIA MARQUES SILVA,gray,gray,0
advogados,BRUNO MOREIRA FLEURY BRANDAO,brown,brown,0
advogados,Cláudia Mariana Laviola de Carvalho Viana,yellow,yellow,0
advogados,Emmanuel Fonseca de Souza,blue,blue,0
advogados,WALASSY MAGNO FELICIANO REIS,orange,orange,0
advogados,ROSIVALDO VIEIRA DE CASTRO,gray,gray,0
advogados,MARCONI VALENTE TEIXEIRA ASSEF MILLEN,purple,purple,0
advogados,MAIARA GARCIA DE ANDRADE,orange,orange,0
advogados,ANTONIO NETO REINOSO DIAS,purple,purple,0
advogados,RODRIGO BARCELLOS GONCALVES,red,red,0
advogados,PAULO SERGIO DA SILVA,purple,purple,0
advogados,HOCHANNY FERNANDES SAMPAIO,gray,gray,0
advogados,SERGIO LUIZ OLIVEIRA LOBAO FILHO,orange,orange,0
advogados,Fernando Vaz Costa Neto,purple,purple,0
advogados,Igor Oliveira Cardoso,purple,purple,0
advogados,JOSE ALEIXON MOREIRA DE FREITAS,blue,blue,0
advogados,DAVI PINHEIRO LIMA,pink,pink,0
advogados,Atila Carvalho Ferreira dos Santos,green,green,0
advogados,Vicente de Paula Santos Carvalho,brown,brown,0
advogados,ANA CAROLINA CARVALHO GAMA,purple,purple,0
advogados,FRANCIANE COSTA CADE,red,red,0
advogados,PRISCILIANE TOMAZELLI MOZER,purple,purple,0
advogados,MELISSA COLOMBI DOS REIS,green,green,0
advogados,PAULO HENRIQUE COLOMBI,red,red,0
advogados,FERNANDA BISSOLI DE OLIVEIRA,default,default,0
advogados,Rafael da Cas Maffini,green,green,0
advogados,Átila Carvalho Ferreira dos Santos,blue,blue,0
advogados,Rafael de Medeiros Chaves Mattos,yellow,yellow,0
advogados,WANDIR ALLAN DE OLIVEIRA,gray,gray,0
advogados,GABRIEL RAMIRES FERREIRA DUARTE,yellow,yellow,0
advogados,JOAO MARCELO SOUZA MENEZES,orange,orange,0
advogados,DANIELLA BATISTA GONTIJO,blue,blue,0
advogados,THATIELLY DE OLIVEIRA ALENCAR,purple,purple,0
advogados,TALITA SILVERIO HAYASAKI,yellow,yellow,0
advogados,LUIZ CESAR BARBOSA LOPES,yellow,yellow,0
advogados,LUIZ FERNANDO FREITAS PIRES,default,default,0
advogados,RENATO FREITAS PIRES,default,default,0
advogados,MURILO FREITAS PIRES,gray,gray,0
advogados,PAULO RENATO DE FREITAS NEVES,purple,purple,0
advogados,AFRANIO COTRIM VIRGENS JUNIOR,gray,gray,0
advogados,CRISTIANE DE FREITAS BUENO AZEVEDO,gray,gray,0
advogados,EVELYN CATARINA DO CARMO SANTOS,orange,orange,0
advogados,DANIEL NASCIMENTO RAMALHO,orange,orange,0
advogados,MARIELLE ORRIGO FERREIRA MENDES,red,red,0
advogados,LUIS GUSTAVO ORRIGO FERREIRA MENDES,red,red,0
advogados,NATHALIA NASCIMENTO PAREDES PISTORELLO,pink,pink,0
advogados,ROMULO MARTINS NAGIB,gray,gray,0
advogados,LUCIANO FELICIO FUCK,default,default,0
advogados,ADEMAR BORGES DE PAULA SILVA,brown,brown,0
advogados,DIOGENES DE ABREU FAGUNDES,green,green,0
advogados,ANDREA SOARES DA ROCHA,pink,pink,0
advogados,JACKSON DI DOMENICO,default,default,0
advogados,ANDRE WILLIAM CHORMIAK,yellow,yellow,0
advogados,APERLINO LOUREIRO NETO,blue,blue,0
advogados,RODOLFO SORIANO WOLFF,orange,orange,0
advogados,THIAGO DE ARAUJO CHAMULERA,pink,pink,0
advogados,GABRIEL FERREIRA DE CRISTO,red,red,0
advogados,DANIELA CRISTINA QUADROS MELO,yellow,yellow,0
advogados,GERCIONE MOREIRA SABBA,pink,pink,0
advogados,KEZIA OLIVEIRA ALVES,default,default,0
advogados,PUBLIO BORGES ALVES,orange,orange,0
advogados,Eduardo Gonçalves Valadão,purple,purple,0
advogados,Danilo Henrique Nunes,gray,gray,0
advogados,ALEXANDRE ALMEIDA AGUIAR,gray,gray,0
advogados,HOEL FELIX TARRAO,pink,pink,0
advogados,EMILLY ALVES MONTEIRO,purple,purple,0
advogados,GABRIEL LIMA SA TELES,gray,gray,0
advogados,DIEGO DIAS CUNHA GONCALVES,brown,brown,0
advogados,LARA TUFI HASSAN XAVIER,brown,brown,0
advogados,GLECIO CERQUEIRA MONTEIRO,blue,blue,0
advogados,GUTEMBERG GOMES DOS SANTOS,default,default,0
advogados,Gilmar Moura de Souza,purple,purple,0
advogados,José Patrocínio de Brito Júnior,green,green,0
advogados,HELIO PARENTE DE VASCONCELOS FILHO,green,green,0
advogados,PAULA MONTEIRO ALENCAR,orange,orange,0
