"ID","Nome (Artigo)","Texto do Artigo"
"49","Art. 15, II, q)","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 15, II, q)

Art. 15. São circunstâncias que agravam a pena, quando não constituem ou qualificam o crime:
II - ter o agente cometido a infração:
q) atingindo espécies ameaçadas, listadas em relatórios oficiais das autoridades competentes;"
"50","Art. 15, II, r)","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 15, II, r)

Art. 15. São circunstâncias que agravam a pena, quando não constituem ou qualificam o crime:
II - ter o agente cometido a infração:
r) facilitada por funcionário público no exercício de suas funções."
"51","Art. 16","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 16

Art. 16. Nos crimes previstos nesta Lei, a suspensão condicional da pena pode ser aplicada nos casos de condenação a pena privativa de liberdade não superior a três anos."
"52","Art. 17","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 17

Art. 17. A verificação da reparação a que se refere o §2º do Art. 78 do Código Penal será feita mediante laudo de reparação do dano ambiental, e as condições a serem impostas pelo juiz deverão relacionar-se com a proteção ao meio ambiente."
"53","Art. 18","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 18

Art. 18. A multa será calculada segundo os critérios do Código Penal; se revelar-se ineficaz, ainda que aplicada no valor máximo, poderá ser aumentada até três vezes, tendo em vista o valor da vantagem econômica auferida."
"54","Art. 19","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 19

Art. 19. A perícia de constatação do dano ambiental, sempre que possível, fixará o montante do prejuízo causado para efeitos de prestação de fiança e cálculo de multa."
"55","Art. 19, Parágrafo único","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 19, Parágrafo único

Art. 19. A perícia de constatação do dano ambiental, sempre que possível, fixará o montante do prejuízo causado para efeitos de prestação de fiança e cálculo de multa.
Parágrafo único. A perícia produzida no inquérito civil ou no juízo cível poderá ser aproveitada no processo penal, instaurando-se o contraditório."
"56","Art. 20","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 20

Art. 20. A sentença penal condenatória, sempre que possível, fixará o valor mínimo para reparação dos danos causados pela infração, considerando os prejuízos sofridos pelo ofendido ou pelo meio ambiente."
"57","Art. 20, Parágrafo único","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 20, Parágrafo único

Art. 20. A sentença penal condenatória, sempre que possível, fixará o valor mínimo para reparação dos danos causados pela infração, considerando os prejuízos sofridos pelo ofendido ou pelo meio ambiente.
Parágrafo único. Transitada em julgado a sentença condenatória, a execução poderá efetuar-se pelo valor fixado nos termos do caput, sem prejuízo da liquidação para apuração do dano efetivamente sofrido."
"58","Art. 21","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 21

Art. 21. As penas aplicáveis isolada, cumulativa ou alternativamente às pessoas jurídicas, de acordo com o disposto no Art. 3º, são:"
"59","Art. 21, I","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 21, I

Art. 21. As penas aplicáveis isolada, cumulativa ou alternativamente às pessoas jurídicas, de acordo com o disposto no Art. 3º, são:
I - multa;"
"60","Art. 21, II","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 21, II

Art. 21. As penas aplicáveis isolada, cumulativa ou alternativamente às pessoas jurídicas, de acordo com o disposto no Art. 3º, são:
II - restritivas de direitos;"
