"Rel","Name","Length","Modified","Attributes"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\RELATÓRIO DE GESTÃO 2023\Relatório de Gestão do TSE - Exercício 2023 - cronograma.pdf","Relatório de Gestão do TSE - Exercício 2023 - cronograma.pdf","678970","2023-12-19","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\RELATÓRIO DE GESTÃO 2023\Relatório de Gestão.txt","Relatório de Gestão.txt","42","2024-01-24","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\RELATÓRIO DE GESTÃO 2023\Relatório_AGEL 2023.docx","Relatório_AGEL 2023.docx","34006","2023-12-19","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\RELATÓRIO DE GESTÃO 2023\Relatório_AGEL_2023_final.docx","Relatório_AGEL_2023_final.docx","39252","2024-01-18","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\RELATÓRIO DE GESTÃO 2023\Relatório_AGEL_2023_final_Thiago.docx","Relatório_AGEL_2023_final_Thiago.docx","35883","2024-01-19","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\RELATÓRIO DE GESTÃO 2023\Relatório_AGEL_2023_resumido_revisado.docx","Relatório_AGEL_2023_resumido_revisado.docx","30336","2024-01-12","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\RELATÓRIO DE GESTÃO 2023\Relatório_AGEL_2023_resumido_revisado_Thiago e Sandra.docx","Relatório_AGEL_2023_resumido_revisado_Thiago e Sandra.docx","38576","2024-01-16","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\RELATÓRIO DE GESTÃO 2023\Relatório_AGEL_2023_resumido_revisado_Thiago e Sandra_consolidado.docx","Relatório_AGEL_2023_resumido_revisado_Thiago e Sandra_consolidado.docx","263207","2024-01-16","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\RELATÓRIO DE GESTÃO 2023\Relatório_AGEL_2023_resumido_revisado_Thiago e Sandra_consolidado_(v1).docx","Relatório_AGEL_2023_resumido_revisado_Thiago e Sandra_consolidado_(v1).docx","264961","2024-01-17","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\RELATÓRIO DE GESTÃO 2023\Sumário RG 2022.pdf","Sumário RG 2022.pdf","59764","2023-12-19","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\RELATÓRIO DE GESTÃO 2023\Sumário RG 2023 - Sumário_novo.pdf","Sumário RG 2023 - Sumário_novo.pdf","78836","2023-12-19","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\RELATÓRIO DE GESTÃO 2023\TSE-relatorio-de-gestao-2021.pdf","TSE-relatorio-de-gestao-2021.pdf","27390351","2023-12-19","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\RELATÓRIO DE GESTÃO 2023\TSE-relatorio-de-gestao-2022.pdf","TSE-relatorio-de-gestao-2022.pdf","6006247","2024-01-17","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\RELATÓRIO DE GESTÃO 2023\TSE-relatorio-gestao-2020.pdf","TSE-relatorio-gestao-2020.pdf","41241669","2023-12-19","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\TERMO DE REFERÊNCIA (TR)\Análise de riscos.docx","Análise de riscos.docx","30639","2024-02-19","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\TERMO DE REFERÊNCIA (TR)\Aprovação_ETP 2022.pdf","Aprovação_ETP 2022.pdf","103974","2024-03-05","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\TERMO DE REFERÊNCIA (TR)\Ciência - nomeação comissão.pdf","Ciência - nomeação comissão.pdf","97991","2024-01-15","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\TERMO DE REFERÊNCIA (TR)\Despacho (1).docx","Despacho (1).docx","26989","2024-02-21","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\TERMO DE REFERÊNCIA (TR)\Despacho (2).docx","Despacho (2).docx","31780","2024-02-28","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\TERMO DE REFERÊNCIA (TR)\Despacho (3).docx","Despacho (3).docx","13969","2024-03-05","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\TERMO DE REFERÊNCIA (TR)\ETP 2022.pdf","ETP 2022.pdf","195885","2024-03-05","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\TERMO DE REFERÊNCIA (TR)\número de versões.pdf","número de versões.pdf","339729","2024-01-15","4199968"
