data_sessao,tribunal,tipo,num_ordinal,pagina,n_boletim_be,data_boletim,arquivo_destino,origem
1937-07-28,superior,ordinaria,83,19,84,1937-07-31,1937-07-31 - BE n084 [100217].pdf,BEs 1937\JULHO\31\100217\00000013.pdf
1937-07-30,superior,ordinaria,84,17,,1937-08-03,1937-08-03 - BE [100221].pdf,BEs 1937\AGOSTO\03\100221\00000001.pdf
1937-08-02,superior,ordinaria,85,17,86,1937-08-05,1937-08-05 - BE n086 [100242].pdf,BEs 1937\AGOSTO\05\100242\00000002.pdf
1937-08-06,superior,ordinaria,87,16,,1937-08-10,1937-08-10 - BE [100244].pdf,BEs 1937\AGOSTO\10\100244\00000004.pdf
1937-08-09,superior,ordinaria,,18,89,1937-08-12,1937-08-12 - BE n089 [100245].pdf,BEs 1937\AGOSTO\12\100245\00000005.pdf
1937-08-11,regional,,,20,94,1937-08-24,1937-08-24 - BE n094 [100250].pdf,BEs 1937\AGOSTO\24\100250\00000010.pdf
1937-08-13,superior,ordinaria,90,16,,1937-08-17,1937-08-17 - BE [100247].pdf,BEs 1937\AGOSTO\17\100247\00000007.pdf
1937-08-18,superior,ordinaria,92,20,,1937-08-21,1937-08-21 - BE [100249].pdf,BEs 1937\AGOSTO\21\100249\00000009.pdf
1937-08-20,superior,ordinaria,3,18,94,1937-08-24,1937-08-24 - BE n094 [100250].pdf,BEs 1937\AGOSTO\24\100250\00000010.pdf
1937-08-30,superior,ordinaria,97,19,,1937-09-02,1937-09-02 - BE [100256].pdf,BEs 1937\SETEMBRO\02\100256\00000001.pdf
1937-09-01,superior,,35,31,,1937-09-14,1937-09-14 - BE [100261].pdf,BEs 1937\SETEMBRO\14\100261\00000008.pdf
1937-09-08,regional,,,20,,1937-09-21,1937-09-21 - BE [100264].pdf,BEs 1937\SETEMBRO\21\100264\00000012.pdf
1937-09-08,superior,ordinaria,,17,,1937-09-11,1937-09-11 - BE [100260].pdf,BEs 1937\SETEMBRO\11\100260\00000007.pdf
1937-09-10,superior,ordinaria,102,18,,1937-09-14,1937-09-14 - BE [100261].pdf,BEs 1937\SETEMBRO\14\100261\00000008.pdf
1937-09-13,superior,ordinaria,103,16,104,1937-09-16,1937-09-16 - BE n104 [100262].pdf,BEs 1937\SETEMBRO\16\100262\00000009.pdf
1937-09-17,superior,ordinaria,105,17,,1937-09-21,1937-09-21 - BE [100264].pdf,BEs 1937\SETEMBRO\21\100264\00000012.pdf
1937-09-22,regional,,38,25,112,1937-10-05,1937-10-05 - BE n112 [100270].pdf,BEs 1937\OUTUBRO\05\100270\00000002.pdf
1937-09-22,superior,ordinaria,107,18,108,1937-09-25,1937-09-25 - BE n108 [100266].pdf,BEs 1937\SETEMBRO\25\100266\00000014.pdf
1937-09-24,superior,ordinaria,108,17,10,1937-09-28,1937-09-28 - BE n010 [100267].pdf,BEs 1937\SETEMBRO\28\100267\00000016.pdf
1937-09-29,superior,,10,4,111,1937-10-02,1937-10-02 - BE n111 [100269].pdf,BEs 1937\OUTUBRO\02\100269\00000001.pdf
1937-09-29,superior,,39,22,115,1937-10-12,1937-10-12 - BE n115 [100273].pdf,BEs 1937\OUTUBRO\12\100273\00000006.pdf
1937-10-08,superior,ordinaria,,20,115,1937-10-12,1937-10-12 - BE n115 [100273].pdf,BEs 1937\OUTUBRO\12\100273\00000006.pdf
1937-10-13,regional,,,25,121,1937-10-26,1937-10-26 - BE n121 [100281].pdf,BEs 1937\OUTUBRO\26\100281\00000015.pdf
1937-10-15,superior,ordinaria,117,19,118,1937-10-19,1937-10-19 - BE n118 [100276].pdf,BEs 1937\OUTUBRO\19\100276\00000010.pdf
1937-10-20,regional,,,27,123,1937-10-30,1937-10-30 - BE n123 [100284].pdf,BEs 1937\OUTUBRO\30\100284\00000018.pdf
1937-10-20,superior,ordinaria,119,20,120,1937-10-23,1937-10-23 - BE n120 [100280].pdf,BEs 1937\OUTUBRO\23\100280\00000014.pdf
1937-10-22,superior,ordinaria,120,20,121,1937-10-26,1937-10-26 - BE n121 [100281].pdf,BEs 1937\OUTUBRO\26\100281\00000015.pdf
1937-10-25,superior,ordinaria,,22,,1937-10-28,1937-10-28 - BE [100282].pdf,BEs 1937\OUTUBRO\28\100282\00000016.pdf
1937-10-27,superior,ordinaria,,20,123,1937-10-30,1937-10-30 - BE n123 [100284].pdf,BEs 1937\OUTUBRO\30\100284\00000018.pdf
?,regional,,,12,,1936-07-16,1936-07-16 - BE [100025].pdf,BEs 1936\JULHO\16\100025\00000007.pdf
?,regional,,,4,112,1933-07-12,1933-07-12 - BE n112 [99357].pdf,BEs 1933\JULHO\12\99357\00000011.pdf
?,regional,,3,11,,1936-02-01,1936-02-01 - BE [99946].pdf,BEs 1936\FEVEREIRO\01\99946\00000014.pdf
?,regional,,44,12,,1936-11-19,1936-11-19 - BE [100054].pdf,BEs 1936\NOVEMBRO\19\100054\00000020.pdf
?,regional,extraordinaria,,15,119,1933-08-02,1933-08-02 - BE n119 [99495].pdf,BEs 1933\AGOSTO\02\99495\00000005 (igual).pdf
?,regional,extraordinaria,104,7,146,1933-11-04,1933-11-04 - BE n146 [99870].pdf,BEs 1933\NOVEMBRO\04\99870\00000027.pdf
?,regional,extraordinaria,207,7,30,1935-03-02,1935-03-02 - BE n030 [99697].pdf,BEs 1935\MARÇO\02\99697\00000001.pdf
?,regional,extraordinaria,24,15,119,1933-08-02,1933-08-02 - BE n119 [99495].pdf,BEs 1933\AGOSTO\02\99495\00000005 (igual).pdf
?,regional,ordinaria,,4,8,1932-08-22,1932-08-22 - BE n008 [99103].pdf,BEs 1932\AGOSTO\22\99103\00000008.pdf
?,regional,ordinaria,3,4,8,1932-08-22,1932-08-22 - BE n008 [99103].pdf,BEs 1932\AGOSTO\22\99103\00000008.pdf
?,superior,,,29,130,1933-09-09,1933-09-09 - BE n130 [99533].pdf,BEs 1933\SETEMBRO\09\99533\00000011.pdf
?,superior,,,30,130,1933-09-09,1933-09-09 - BE n130 [99533] (2).pdf,BEs 1933\SETEMBRO\09\99533\00000016 (igual).pdf
?,superior,,18,8,16,1932-10-05,1932-10-05 - BE n016 [99163].pdf,BEs 1932\OUTUBRO\05\99163\00000016.pdf
?,superior,,20,2,18,1932-10-19,1932-10-19 - BE n018 [99165].pdf,BEs 1932\OUTUBRO\19\99165\00000018.pdf
?,superior,,24,15,,1933-08-02,1933-08-02 - BE [99495].pdf,BEs 1933\AGOSTO\02\99495\00000001.pdf
?,superior,extraordinaria,,2,,1935-05-11,1935-05-11 - BE [99739].pdf,BEs 1935\MAIO\11\99739\00000004.pdf
?,superior,extraordinaria,,21,127,1933-08-30,1933-08-30 - BE n127 [99528].pdf,BEs 1933\AGOSTO\30\99528\00000013.pdf
?,superior,extraordinaria,,28,32,1935-03-10,1935-03-10 - BE n032 [99699].pdf,BEs 1935\MARÇO\10\99699\00000003.pdf
?,superior,extraordinaria,,3,,1934-09-21,1934-09-21 - BE [99653].pdf,BEs 1934\SETEMBRO\21\99653\00000009.pdf
?,superior,extraordinaria,,3,,1935-02-10,1935-02-10 - BE [99813].pdf,BEs 1935\FEVEREIRO\10\99813\00000020.pdf
?,superior,extraordinaria,,3,13,1935-04-03,1935-04-03 - BE n013 [99710].pdf,BEs 1935\ABRIL\03\99710\00000014.pdf
?,superior,extraordinaria,,4,48,1935-04-17,1935-04-17 - BE n048 [99715].pdf,BEs 1935\ABRIL\17\99715\00000019.pdf
?,superior,extraordinaria,,6,140,1933-10-14,1933-10-14 - BE n140 [99864].pdf,BEs 1933\OUTUBRO\14\99864\00000021.pdf
?,superior,extraordinaria,,7,111,1934-10-20,1934-10-20 - BE n111 [99679].pdf,BEs 1934\OUTUBRO\20\99679\00000013.pdf
?,superior,extraordinaria,,9,19,1935-02-09,1935-02-09 - BE n019 [99812].pdf,BEs 1935\FEVEREIRO\09\99812\00000019.pdf
?,superior,extraordinaria,1,14,19,1935-02-09,1935-02-09 - BE n019 [99812].pdf,BEs 1935\FEVEREIRO\09\99812\00000019.pdf
?,superior,extraordinaria,12,2,,1932-12-17,1932-12-17 - BE [99179].pdf,BEs 1932\DEZEMBRO\17\99179\00000032.pdf
?,superior,extraordinaria,14,6,,1935-05-05,1935-05-05 - BE [99737].pdf,BEs 1935\MAIO\05\99737\00000002.pdf
?,superior,extraordinaria,19,21,127,1933-08-30,1933-08-30 - BE n127 [99528].pdf,BEs 1933\AGOSTO\30\99528\00000013.pdf
?,superior,extraordinaria,19,3,60,1935-05-25,1935-05-25 - BE n060 [99743].pdf,BEs 1935\MAIO\25\99743\00000008.pdf
?,superior,extraordinaria,22,2,64,1935-06-05,1935-06-05 - BE n064 [99747].pdf,BEs 1935\JUNHO\05\99747\00000012.pdf
?,superior,extraordinaria,229,3,95,1934-09-17,1934-09-17 - BE n095 [99642].pdf,BEs 1934\SETEMBRO\17\99642\00000007.pdf
?,superior,extraordinaria,23,14,,1933-08-02,1933-08-02 - BE [99495].pdf,BEs 1933\AGOSTO\02\99495\00000001.pdf
?,superior,extraordinaria,8,3,48,1935-04-17,1935-04-17 - BE n048 [99715].pdf,BEs 1935\ABRIL\17\99715\00000019.pdf
?,superior,ordinaria,,11,153,1933-11-25,1933-11-25 - BE n153 [99877].pdf,BEs 1933\NOVEMBRO\25\99877\00000034.pdf
?,superior,ordinaria,,12,,1937-05-18,1937-05-18 - BE [100177].pdf,BEs 1936\MAIO\18\100177\00000019.pdf
?,superior,ordinaria,,14,,1933-08-02,1933-08-02 - BE [99495].pdf,BEs 1933\AGOSTO\02\99495\00000001.pdf
?,superior,ordinaria,,16,,1937-09-09,1937-09-09 - BE [100259].pdf,BEs 1937\SETEMBRO\09\100259\00000005.pdf
?,superior,ordinaria,,17,95,1937-08-26,1937-08-26 - BE n095 [100251].pdf,BEs 1937\AGOSTO\26\100251\00000011.pdf
?,superior,ordinaria,,17,97,1937-08-31,1937-08-31 - BE n097 [100253].pdf,BEs 1937\AGOSTO\31\100253\00000013.pdf
?,superior,ordinaria,,18,,1937-07-10,1937-07-10 - BE [100202].pdf,BEs 1937\JULHO\10\100202\00000005.pdf
?,superior,ordinaria,,18,11,1935-02-06,1935-02-06 - BE n011 [99810].pdf,BEs 1935\FEVEREIRO\06\99810\00000017.pdf
?,superior,ordinaria,,18,112,1937-10-05,1937-10-05 - BE n112 [100270].pdf,BEs 1937\OUTUBRO\05\100270\00000002.pdf
?,superior,ordinaria,,19,,1937-07-29,1937-07-29 - BE [100214].pdf,BEs 1937\JULHO\29\100214\00000012.pdf
