path_original,origem_atual,destino_novo,categoria,conf
D:\HD EXTERNO Mário\01_Fotos da câmera\MSC Preziosa\MSC\Ana Lúcia\02\CAM00029.jpg,D:\MÍDIA\2013\2013-09\2013-09-18 12.18.59 [2e106e4b].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\DOCUMENTOS TRIVIAIS\2013-09-18 12.18.59 [2e106e4b].jpg,documento_trivial,0.93
D:\HD EXTERNO Mário\01_Fotos da câmera\Passeio em Natal - Nov 2021\20211107_192653.jpg,D:\MÍDIA\2021\2021-11\2021-11-07 19.26.53 [2ea6b364].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\DOCUMENTOS TRIVIAIS\2021-11-07 19.26.53 [2ea6b364].jpg,documento_trivial,0.86
D:\HD EXTERNO Mário\01_Fotos da câmera\São Gabriel da Cachoeira\Fotos Extras\ONÃA 01.JPG,D:\MÍDIA\0000 SEM DATA\Animais\ONÃA 01 [2db3de34].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\ONÃA 01 [2db3de34].jpg,meme_web,0.88
D:\HD EXTERNO Mário\01_Fotos da câmera\São Gabriel da Cachoeira\Fotos Extras\PRAIA 04.JPG,D:\MÍDIA\0000 SEM DATA\DIVERSOS\São Gabriel da Cachoeira\PRAIA 04 [5900d4db].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\PRAIA 04 [5900d4db].jpg,meme_web,0.93
D:\HD EXTERNO Mário\01_Fotos da câmera\São Gabriel da Cachoeira\Fotos Extras\PRAIA 08.jpg,D:\MÍDIA\0000 SEM DATA\DIVERSOS\São Gabriel da Cachoeira\PRAIA 08 [9a2e6162].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\PRAIA 08 [9a2e6162].jpg,meme_web,0.93
D:\HD EXTERNO Mário\01_Fotos da câmera\São Gabriel da Cachoeira\Fotos Extras\PRAIA 09.jpg,D:\MÍDIA\0000 SEM DATA\DIVERSOS\São Gabriel da Cachoeira\PRAIA 09 [79757a97].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\PRAIA 09 [79757a97].jpg,meme_web,0.93
D:\HD EXTERNO Mário\01_Fotos da câmera\São Gabriel da Cachoeira\Fotos Extras\PRAIA 10.jpg,D:\MÍDIA\0000 SEM DATA\DIVERSOS\São Gabriel da Cachoeira\PRAIA 10 [f6646a2d].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\PRAIA 10 [f6646a2d].jpg,meme_web,0.93
D:\HD EXTERNO Mário\01_Fotos da câmera\São Gabriel da Cachoeira\Fotos Extras\PRAIA 12.jpg,D:\MÍDIA\0000 SEM DATA\DIVERSOS\São Gabriel da Cachoeira\PRAIA 12 [89cb30d4].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\PRAIA 12 [89cb30d4].jpg,meme_web,0.92
D:\HD EXTERNO Mário\01_Fotos da câmera\São Gabriel da Cachoeira\Fotos Extras\PRAIA 13.jpg,D:\MÍDIA\0000 SEM DATA\DIVERSOS\São Gabriel da Cachoeira\PRAIA 13 [bd75bab8].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\PRAIA 13 [bd75bab8].jpg,meme_web,0.92
D:\HD EXTERNO Mário\01_Fotos da câmera\São Gabriel da Cachoeira\Fotos Extras\PRAIA 14.jpg,D:\MÍDIA\0000 SEM DATA\DIVERSOS\São Gabriel da Cachoeira\PRAIA 14 [11fdf487].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\PRAIA 14 [11fdf487].jpg,meme_web,0.92
D:\HD EXTERNO Mário\01_Fotos da câmera\São Gabriel da Cachoeira\Fotos Extras\PRAIA E A BELA ADORMECIDA 01.jpg,D:\MÍDIA\0000 SEM DATA\DIVERSOS\São Gabriel da Cachoeira\PRAIA E A BELA ADORMECIDA 01 [ee1ab390].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\PRAIA E A BELA ADORMECIDA 01 [ee1ab390].jpg,meme_web,0.93
D:\HD EXTERNO Mário\01_Fotos da câmera\Viagem antes do Natal - São José 1\11122010011.jpg,D:\MÍDIA\2010\2010-12\2010-12-11 23.46.09 [ac20fc70].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TV E GRAVACOES\2010-12-11 23.46.09 [ac20fc70].jpg,tv_gravacao,0.99
D:\HD EXTERNO Mário\BACKUP MÁRIO 2020\20200207_174913_002.jpg,D:\MÍDIA\2020\2020-02\2020-02-07 17.49.13 [e88db45a].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\2020-02-07 17.49.13 [e88db45a].jpg,meme_web,0.99
D:\HD EXTERNO Mário\BACKUP MÁRIO 2020\20200207_174916.jpg,D:\MÍDIA\2020\2020-02\2020-02-07 17.49.16 [b7c8b697].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\2020-02-07 17.49.16 [b7c8b697].jpg,meme_web,0.99
D:\HD EXTERNO Mário\BACKUP MÁRIO 2020\20200207_174922.jpg,D:\MÍDIA\2020\2020-02\2020-02-07 17.49.22 [18136b12].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\2020-02-07 17.49.22 [18136b12].jpg,meme_web,0.98
D:\HD EXTERNO Mário\BACKUP MÁRIO 2020\20200218_190804.jpg,D:\MÍDIA\2020\2020-02\2020-02-18 19.08.04 [4bc19880].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TV E GRAVACOES\2020-02-18 19.08.04 [4bc19880].jpg,tv_gravacao,0.96
D:\HD EXTERNO Mário\BACKUP MÁRIO 2020\20200516_144205.jpg,D:\MÍDIA\2020\2020-05\2020-05-16 14.42.05 [a6f87c96].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\DOCUMENTOS TRIVIAIS\2020-05-16 14.42.05 [a6f87c96].jpg,documento_trivial,0.72
D:\HD EXTERNO Mário\BACKUP MÁRIO 2020\20200516_144212.jpg,D:\MÍDIA\2020\2020-05\2020-05-16 14.42.12 [a88f7b83].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\DOCUMENTOS TRIVIAIS\2020-05-16 14.42.12 [a88f7b83].jpg,documento_trivial,0.86
