"Acao","De","Para"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Portaria Interna de Substituto.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Funcional e cargos\Portaria Interna de Substituto.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Procuração - Geral.doc","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Outros documentos (do Cofre)\Procuração - Geral.doc"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Rubrica - Ana Lúcia.tiff","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\Documentos da família\Rubrica - Ana Lúcia.tiff"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Termo de Exercício.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Funcional e cargos\Termo de Exercício.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Termo de Investidura.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Funcional e cargos\Termo de Investidura.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Título de eleitor - MAURÍCIO.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Eleitoral\Título de eleitor - MAURÍCIO.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Título eleitoral.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Eleitoral\Título eleitoral.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\UnB.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Formação acadêmica\UnB.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\UOL Imap configurar outlook.png","C:\Users\mauri\OneDrive\Documentos\10 - Tecnologia e dispositivos\SENHAS\UOL Imap configurar outlook.png"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Visto - Carol.jpg","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\Documentos da família\Visto - Carol.jpg"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Visto EUA - MAURÍCIO.pdf","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\Identidade\Visto EUA - MAURÍCIO.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\Yourwallet_20231216_153639.ywe","C:\Users\mauri\OneDrive\Documentos\10 - Tecnologia e dispositivos\SENHAS\Yourwallet_20231216_153639.ywe"
