item_before,item_after,action,occurrences
CP art 157 § 2º II,CP art. 157 § 2º inc. II,normalized,7
CP art 317,CP art. 317,normalized,7
CP art 342,CP art. 342,normalized,7
CP art 65 III d,CP art. 65 inc. III al. d,normalized,7
CP art 91 II,CP art. 91 inc. II,normalized,7
CP artigo 155,CP art. 155,normalized,7
CP artigo 186,CP art. 186,normalized,7
CP artigo 288,CP art. 288,normalized,7
CP artigo 927,CP art. 927,normalized,7
CPC/2015 Art 373,CPC/2015 art. 373,normalized,7
CPC/2015 Artigo 371,CPC/2015 art. 371,normalized,7
CPC/2015 Artigo 464,CPC/2015 art. 464,normalized,7
CPC/2015 art 373 I,CPC/2015 art. 373 inc. I,normalized,7
CPC/2015 art 516 II,CPC/2015 art. 516 inc. II,normalized,7
CPC/2015 art 543 C,CPC/2015 art. 543-C,normalized,7
CPC/2015 art 69,CPC/2015 art. 69,normalized,7
CPC/2015 artigo 139,CPC/2015 art. 139,normalized,7
CPC/2015 artigo 487,CPC/2015 art. 487,normalized,7
CPP art 155,CPP art. 155,normalized,7
CPP artigo 156,CPP art. 156,normalized,7
CPP artigo 319,CPP art. 319,normalized,7
CTN art 206,CTN art. 206,normalized,7
Código Civil,,drop_generic_or_invalid,7
DL nº 20910 1932,DL nº 20.910/1932,normalized,7
Decreto 20.910 1932,Decreto nº 20.910/1932,normalized,7
EC 103/2019,EC 103/2019,unchanged,7
Lei Complementar 118 2005,LC nº 118/2005,normalized,7
Lei nº 10.887/2004,Lei nº 10.887/2004,unchanged,7
Lei nº 11.343/2006 Art 33,Lei nº 11.343/2006 art. 33,normalized,7
Lei nº 11.382/2006,Lei nº 11.382/2006,unchanged,7
Lei nº 6.830/1980 art 40,Lei nº 6.830/1980 art. 40,normalized,7
Lei nº 6.938/1981 artigo 3,Lei nº 6.938/1981 art. 3º,normalized,7
Lei nº 8.025/1990,Lei nº 8.025/1990,unchanged,7
Lei nº 8.036/1990,Lei nº 8.036/1990,unchanged,7
Lei nº 8.078/1990,Lei nº 8.078/1990,unchanged,7
Lei nº 8.078/1990 artigo 6,Lei nº 8.078/1990 art. 6º,normalized,7
Lei nº 8.080/1990 Artigo 2,Lei nº 8.080/1990 art. 2º,normalized,7
Lei nº 8.112/1990 Art 37,Lei nº 8.112/1990 art. 37,normalized,7
Lei nº 8.112/1990 art 87,Lei nº 8.112/1990 art. 87,normalized,7
Lei nº 8.212/1991 Artigo 22,Lei nº 8.212/1991 art. 22,normalized,7
Lei nº 8.213/1991 Art 57,Lei nº 8.213/1991 art. 57,normalized,7
Lei nº 8.213/1991 Artigo 42,Lei nº 8.213/1991 art. 42,normalized,7
Lei nº 8.213/1991 artigo 26,Lei nº 8.213/1991 art. 26,normalized,7
Lei nº 8.429/1992 Art 12,Lei nº 8.429/1992 art. 12,normalized,7
Lei nº 8.429/1992 artigo 11,Lei nº 8.429/1992 art. 11,normalized,7
Lei nº 8.437/1992,Lei nº 8.437/1992,unchanged,7
Lei nº 8.987/1995,Lei nº 8.987/1995,unchanged,7
Lei nº 9.099/1995,Lei nº 9.099/1995,unchanged,7
Lei nº 9.605/1998 art 50 A,Lei nº 9.605/1998 art. 50-A,normalized,7
Lei nº 9.876/1999,Lei nº 9.876/1999,unchanged,7
CDC art 104,CDC art. 104,normalized,6
CDC art 14,CDC art. 14,normalized,6
CF/88 Art 37 X,CF/88 art. 37 inc. X,normalized,6
CF/88 Art 5º II,CF/88 art. 5º II,normalized,6
CF/88 Art 7,CF/88 art. 7º,normalized,6
CF/88 art 12 I c,CF/88 art. 12 inc. I al. c,normalized,6
CF/88 art 175,CF/88 art. 175,normalized,6
CF/88 art 40 § 8º,CF/88 art. 40 § 8º,normalized,6
CF/88 art 5º X,CF/88 art. 5º X,normalized,6
CF/88 art 5º XIII,CF/88 art. 5º XIII,normalized,6
CF/88 art 93 IX,CF/88 art. 93 inc. IX,normalized,6
CF/88 art. 5º XIII,CF/88 art. 5º XIII,unchanged,6
CF/88 artigo 5 inciso LXVIII,CF/88 art. 5º inc. LXVIII,normalized,6
CP art 107 IV,CP art. 107 inc. IV,normalized,6
CP art 312 § 1º,CP art. 312 § 1º,normalized,6
CP art 69,CP art. 69,normalized,6
CP artigo 157,CP art. 157,normalized,6
CP artigo 297,CP art. 297,normalized,6
CPC/1973 art 543 C,CPC/1973 art. 543-C,normalized,6
CPC/2015 Art 927,CPC/2015 art. 927,normalized,6
CPC/2015 Artigo 497,CPC/2015 art. 497,normalized,6
CPC/2015 art 292,CPC/2015 art. 292,normalized,6
CPC/2015 art 319,CPC/2015 art. 319,normalized,6
CPC/2015 art 493,CPC/2015 art. 493,normalized,6
CPC/2015 art 833 X,CPC/2015 art. 833-X,normalized,6
CPC/2015 art 966,CPC/2015 art. 966,normalized,6
CPC/2015 artigo 370,CPC/2015 art. 370,normalized,6
CPC/2015 artigo 525,CPC/2015 art. 525,normalized,6
CPC/2015 artigo 534,CPC/2015 art. 534,normalized,6
CPC/2015 artigo 77,CPC/2015 art. 77,normalized,6
CPP Art 580,CPP art. 580,normalized,6
CPP art 191,CPP art. 191,normalized,6
CPP art 254,CPP art. 254,normalized,6
CPP art 383,CPP art. 383,normalized,6
CPP art 563,CPP art. 563,normalized,6
CPP art 593 II,CPP art. 593 inc. II,normalized,6
CPP art 70,CPP art. 70,normalized,6
CPP artigo 118,CPP art. 118,normalized,6
CPP artigo 155,CPP art. 155,normalized,6
CPP artigo 282,CPP art. 282,normalized,6
CPP artigo 6,CPP art. 6º,normalized,6
CTN art 185,CTN art. 185,normalized,6
CTN art 43,CTN art. 43,normalized,6
Código Civil art 927,CC art. 927,normalized,6
DL nº 20.910/1932,DL nº 20.910/1932,unchanged,6
DL nº 20910 1932 Art 1º,DL nº 20.910/1932 art. 1º,normalized,6
Decreto 53.831 1964,Decreto nº 53.831/1964,normalized,6
Decreto 977/1993,Decreto nº 977/1993,normalized,6
EC 20/1998,EC 20/1998,unchanged,6
EC 47/2005,EC 47/2005,unchanged,6
Emenda Constitucional 19 1998,EC 19/1998,normalized,6
Lei 11.343/2006 art 40 I,Lei nº 11.343/2006 art. 40 inc. I,normalized,6
Lei 13.846 2019,Lei nº 13.846/2019,normalized,6
Lei 13.954/2019,Lei nº 13.954/2019,normalized,6
Lei 6.880 1980,Lei nº 6.880/1980,normalized,6
Lei 8.176 1991 art 2º,Lei nº 8.176/1991 art. 2º,normalized,6
Lei nº 10.233 2001,Lei nº 10.233/2001,normalized,6
Lei nº 11.343/2006,Lei nº 11.343/2006,unchanged,6
Lei nº 11.416 2006,Lei nº 11.416/2006,normalized,6
Lei nº 11.960/2009,Lei nº 11.960/2009,unchanged,6
Lei nº 4.132/1962,Lei nº 4.132/1962,unchanged,6
Lei nº 4.504/1964,Lei nº 4.504/1964,unchanged,6
Lei nº 6.360/1976,Lei nº 6.360/1976,unchanged,6
Lei nº 6.830/1980 artigo 16,Lei nº 6.830/1980 art. 16,normalized,6
Lei nº 6.880 1980,Lei nº 6.880/1980,normalized,6
Lei nº 7.210/1984,Lei nº 7.210/1984,unchanged,6
Lei nº 7.347/1985 artigo 1,Lei nº 7.347/1985 art. 1º,normalized,6
Lei nº 8.009/1990,Lei nº 8.009/1990,unchanged,6
Lei nº 8.112/1990 art 207,Lei nº 8.112/1990 art. 207,normalized,6
Lei nº 8.112/1990 artigo 117,Lei nº 8.112/1990 art. 117,normalized,6
Lei nº 8.176/1991 art 2º,Lei nº 8.176/1991 art. 2º,normalized,6
Lei nº 8.213/1991 Art 59,Lei nº 8.213/1991 art. 59,normalized,6
Lei nº 8.429/1992 artigo 12,Lei nº 8.429/1992 art. 12,normalized,6
Lei nº 8.666/1993 art 90,Lei nº 8.666/1993 art. 90,normalized,6
Lei nº 8.742/1993,Lei nº 8.742/1993,unchanged,6
Lei nº 8.742/1993 artigo 20,Lei nº 8.742/1993 art. 20,normalized,6
Lei nº 9.424/1996 art 15,Lei nº 9.424/1996 art. 15,normalized,6
Lei nº 9.656 1998,Lei nº 9.656/1998,normalized,6
Lei nº 9.717 1998,Lei nº 9.717/1998,normalized,6
ADCT art 68,ADCT art. 68,normalized,5
CDC,,drop_generic_or_invalid,5
CF/88 Art 102,CF/88 art. 102,normalized,5
CF/88 Art 142,CF/88 art. 142,normalized,5
CF/88 Art 7º XVIII,CF/88 art. 7º XVIII,normalized,5
CF/88 art 1º III,CF/88 art. 1º III,normalized,5
CF/88 art 20 III,CF/88 art. 20 inc. III,normalized,5
CF/88 art 2º,CF/88 art. 2º,normalized,5
CF/88 art 37 IX,CF/88 art. 37 inc. IX,normalized,5
CF/88 art 37 XVI b,CF/88 art. 37 inc. XVI al. b,normalized,5
CF/88 art 37 XVI c,CF/88 art. 37 inc. XVI al. c,normalized,5
CF/88 art 40 § 4º,CF/88 art. 40 § 4º,normalized,5
CF/88 art 5 II,CF/88 art. 5º inc. II,normalized,5
CF/88 art 5 inciso LXXVIII,CF/88 art. 5º inc. LXXVIII,normalized,5
CF/88 art 5º XXIV,CF/88 art. 5º XXIV,normalized,5
CF/88 art 5º XXXVI,CF/88 art. 5º XXXVI,normalized,5
CF/88 art. 100,CF/88 art. 100,unchanged,5
CF/88 art. 5º LV,CF/88 art. 5º LV,unchanged,5
CF/88 artigo 226,CF/88 art. 226,normalized,5
CF/88 artigo 5 inciso XI,CF/88 art. 5º inc. XI,normalized,5
CP art 155 § 4º IV,CP art. 155 § 4º inc. IV,normalized,5
CP art 1º,CP art. 1º,normalized,5
CP art 231,CP art. 231,normalized,5
CP art 24,CP art. 24,normalized,5
CP art 261,CP art. 261,normalized,5
CP art 273,CP art. 273,normalized,5
CP art 29,CP art. 29,normalized,5
CP art. 299,CP art. 299,unchanged,5
CPC/1973 art 485 V,CPC/1973 art. 485-V,normalized,5
CPC/2015 1,,drop_generic_or_invalid,5
CPC/2015 art 479,CPC/2015 art. 479,normalized,5
CPC/2015 art 64,CPC/2015 art. 64,normalized,5
CPC/2015 art 65,CPC/2015 art. 65,normalized,5
CPC/2015 art 85,CPC/2015 art. 85,normalized,5
CPC/2015 artigo 219,CPC/2015 art. 219,normalized,5
CPC/2015 artigo 537,CPC/2015 art. 537,normalized,5
CPC/2015 artigo 9,CPC/2015 art. 9º,normalized,5
CPC/2015 artigo 99,CPC/2015 art. 99,normalized,5
CPP art 392 II,CPP art. 392 inc. II,normalized,5
CPP art 76 III,CPP art. 76 inc. III,normalized,5
CPP artigo 395,CPP art. 395,normalized,5
CPP artigo 41,CPP art. 41,normalized,5
CPP artigo 647,CPP art. 647,normalized,5
CTN art 170 A,CTN art. 170-A,normalized,5
CTN art. 96,CTN art. 96,unchanged,5
CTPS,CTPS,unchanged,5
Constituição CF/88,Constituição CF/88,unchanged,5
Constituição Federal CF/88,,drop_generic_or_invalid,5
Código Civil art 186,CC art. 186,normalized,5
Código Civil art 50,CC art. 50,normalized,5
Código de Defesa do Consumidor,,drop_generic_or_invalid,5
DL nº 20.910 1932,DL nº 20.910/1932,normalized,5
DL nº 3.240 1941,DL nº 3.240/1941,normalized,5
DL nº 3365 1941,DL nº 3.365/1941,normalized,5
Decreto 2.172 1997,Decreto nº 2.172/1997,normalized,5
Decreto 2.172/1997,Decreto nº 2.172/1997,normalized,5
Decreto 3.298 1999,Decreto nº 3.298/1999,normalized,5
Decreto 6.514/2008,Decreto nº 6.514/2008,normalized,5
Decreto 83.080 1979,Decreto nº 83.080/1979,normalized,5
EC 47 2005,EC 47/2005,normalized,5
EC 79 2014,EC 79/2014,normalized,5
EC 98 2017,EC 98/2017,normalized,5
Emenda Constitucional 20 1998,EC 20/1998,normalized,5
Emenda Constitucional 41 2003,EC 41/2003,normalized,5
Lei 13.043 2014 art 75,Lei nº 13.043/2014 art. 75,normalized,5
Lei 5.010 1966 art 15 inciso I,Lei nº 5.010/1966 art. 15 inc. I,normalized,5
Lei 8.213/1991,Lei nº 8.213/1991,normalized,5
Lei 9.605 1998 art 55,Lei nº 9.605/1998 art. 55,normalized,5
Lei nº 10.256/2001,Lei nº 10.256/2001,unchanged,5
Lei nº 10.259/2001 art 1º,Lei nº 10.259/2001 art. 1º,normalized,5
Lei nº 10.522 2002 Art 26,Lei nº 10.522/2002 art. 26,normalized,5
Lei nº 10.559 2002,Lei nº 10.559/2002,normalized,5
Lei nº 10.826/2003 Art 14,Lei nº 10.826/2003 art. 14,normalized,5
Lei nº 11.416/2006,Lei nº 11.416/2006,unchanged,5
Lei nº 11.457/2007,Lei nº 11.457/2007,unchanged,5
Lei nº 12.016 2009,Lei nº 12.016/2009,normalized,5
Lei nº 12.527/2011,Lei nº 12.527/2011,unchanged,5
Lei nº 12.618/2012,Lei nº 12.618/2012,unchanged,5
Lei nº 12.764/2012,Lei nº 12.764/2012,unchanged,5
Lei nº 12.844/2013,Lei nº 12.844/2013,unchanged,5
Lei nº 13.043/2014,Lei nº 13.043/2014,unchanged,5
Lei nº 13.494 2017,Lei nº 13.494/2017,normalized,5
Lei nº 6.839/1980,Lei nº 6.839/1980,unchanged,5
Lei nº 7.492/1986 art 19,Lei nº 7.492/1986 art. 19,normalized,5
