item_before,item_after,action,occurrences
Lei nº 8.906/1994 artigo 7 o,Lei nº 8.906/1994 art. 7º,normalized,1
Lei nº 8.906/1994 artigo 8,Lei nº 8.906/1994 art. 8º,normalized,1
Lei nº 8.906/1994 §11,Lei nº 8.906/1994 § 11,normalized,1
Lei nº 8.934/1994 art 35 inciso I,Lei nº 8.934/1994 art. 35 inc. I,normalized,1
Lei nº 8.934/1994 artigo 1,Lei nº 8.934/1994 art. 1º,normalized,1
Lei nº 8.935 1994 art 39 §2,Lei nº 8.935/1994 art. 39 § 2º,normalized,1
Lei nº 8.935/1994 Artigo 1,Lei nº 8.935/1994 art. 1º,normalized,1
Lei nº 8.935/1994 art 3,Lei nº 8.935/1994 art. 3º,normalized,1
Lei nº 8.935/1994 arts. 3º,Lei nº 8.935/1994 art. 3º,normalized,1
Lei nº 8.935/1994 arts. 5º,Lei nº 8.935/1994 art. 5º,normalized,1
Lei nº 8.958/1994,Lei nº 8.958/1994,unchanged,1
Lei nº 8.981 1995,Lei nº 8.981/1995,normalized,1
Lei nº 8.981 1995 Art 21,Lei nº 8.981/1995 art. 21,normalized,1
Lei nº 8.981/1995 art 42,Lei nº 8.981/1995 art. 42,normalized,1
Lei nº 8.981/1995 art 58,Lei nº 8.981/1995 art. 58,normalized,1
Lei nº 8.987 1995 art 6 §3 inciso I,Lei nº 8.987/1995 art. 6º § 3º inc. I,normalized,1
Lei nº 8.987/1995 art 6 § 3 II,Lei nº 8.987/1995 art. 6º § 3º inc. II,normalized,1
Lei nº 8.987/1995 art 9 § 4º,Lei nº 8.987/1995 art. 9º § 4º,normalized,1
Lei nº 8.987/1995 art. 6º § 3º inciso I,Lei nº 8.987/1995 art. 6º § 3º inc. I,normalized,1
Lei nº 8.987/1995 artigo 6o,Lei nº 8.987/1995 art. 6º,normalized,1
Lei nº 8.989/1995 art 1,Lei nº 8.989/1995 art. 1º,normalized,1
Lei nº 8.989/1995 art 1º,Lei nº 8.989/1995 art. 1º,normalized,1
Lei nº 8.989/1995 art 2º,Lei nº 8.989/1995 art. 2º,normalized,1
Lei nº 8020/1990,Lei nº 8.020/1990,normalized,1
Lei nº 805 2017,Lei nº 805/2017,normalized,1
Lei nº 9.019/1995,Lei nº 9.019/1995,unchanged,1
Lei nº 9.028/1995 art 24-A,Lei nº 9.028/1995 art. 24-A,normalized,1
Lei nº 9.028/1995 art 6º,Lei nº 9.028/1995 art. 6º,normalized,1
Lei nº 9.029 1995,Lei nº 9.029/1995,normalized,1
Lei nº 9.032 1995 art 57 §5º,Lei nº 9.032/1995 art. 57 § 5º,normalized,1
Lei nº 9.032/1995 artigo 4,Lei nº 9.032/1995 art. 4º,normalized,1
Lei nº 9.034/1995,Lei nº 9.034/1995,unchanged,1
Lei nº 9.051/1995 art 2º,Lei nº 9.051/1995 art. 2º,normalized,1
Lei nº 9.055/1995 art 2º,Lei nº 9.055/1995 art. 2º,normalized,1
Lei nº 9.065/1995,Lei nº 9.065/1995,unchanged,1
Lei nº 9.065/1995 art 15,Lei nº 9.065/1995 art. 15,normalized,1
Lei nº 9.065/1995 art 16,Lei nº 9.065/1995 art. 16,normalized,1
Lei nº 9.069/1995,Lei nº 9.069/1995,unchanged,1
Lei nº 9.093 1995,Lei nº 9.093/1995,normalized,1
Lei nº 9.093 art. 1º II,Lei nº 9.093 art. 1º II,unchanged,1
Lei nº 9.093 art. 2º,Lei nº 9.093 art. 2º,unchanged,1
Lei nº 9.093/1995,Lei nº 9.093/1995,unchanged,1
Lei nº 9.099/1995 Art 3,Lei nº 9.099/1995 art. 3º,normalized,1
Lei nº 9.099/1995 Art 40,Lei nº 9.099/1995 art. 40,normalized,1
Lei nº 9.099/1995 art 76,Lei nº 9.099/1995 art. 76,normalized,1
Lei nº 9.099/1995 art. 2º,Lei nº 9.099/1995 art. 2º,unchanged,1
Lei nº 9.099/1995 artigo 5,Lei nº 9.099/1995 art. 5º,normalized,1
Lei nº 9.131/1995,Lei nº 9.131/1995,unchanged,1
Lei nº 9.138/1995,Lei nº 9.138/1995,unchanged,1
Lei nº 9.213 1991 art 25 inciso IV,Lei nº 9.213/1991 art. 25 inc. IV,normalized,1
Lei nº 9.249 1995 art 15 § 1º inciso III,Lei nº 9.249/1995 art. 15 § 1º inc. III,normalized,1
Lei nº 9.249/1995 Art 10,Lei nº 9.249/1995 art. 10,normalized,1
Lei nº 9.249/1995 Art 23,Lei nº 9.249/1995 art. 23,normalized,1
Lei nº 9.249/1995 art 15,Lei nº 9.249/1995 art. 15,normalized,1
Lei nº 9.249/1995 art 15 III a,Lei nº 9.249/1995 art. 15 inc. III al. a,normalized,1
Lei nº 9.249/1995 art 15 § 1º III a,Lei nº 9.249/1995 art. 15 § 1º inc. III al. a,normalized,1
Lei nº 9.249/1995 art 9º,Lei nº 9.249/1995 art. 9º,normalized,1
Lei nº 9.249/1995 art 9º § 6º,Lei nº 9.249/1995 art. 9º § 6º,normalized,1
Lei nº 9.249/1995 artigo 10,Lei nº 9.249/1995 art. 10,normalized,1
Lei nº 9.250 1995 Art 26,Lei nº 9.250/1995 art. 26,normalized,1
Lei nº 9.250 1995 art 39 § 4º,Lei nº 9.250/1995 art. 39 § 4º,normalized,1
Lei nº 9.250 1996 art 39 § 4º,Lei nº 9.250/1996 art. 39 § 4º,normalized,1
Lei nº 9.250/1995 Artigo 14,Lei nº 9.250/1995 art. 14,normalized,1
Lei nº 9.250/1995 art 33,Lei nº 9.250/1995 art. 33,normalized,1
Lei nº 9.261/1996,Lei nº 9.261/1996,unchanged,1
Lei nº 9.263/1996,Lei nº 9.263/1996,unchanged,1
Lei nº 9.264 1996,Lei nº 9.264/1996,normalized,1
Lei nº 9.278/1976,Lei nº 9.278/1976,unchanged,1
Lei nº 9.279/1996 art 124 V,Lei nº 9.279/1996 art. 124 inc. V,normalized,1
Lei nº 9.279/1996 art 124 XIX,Lei nº 9.279/1996 art. 124 inc. XIX,normalized,1
Lei nº 9.279/1996 art 125,Lei nº 9.279/1996 art. 125,normalized,1
Lei nº 9.279/1996 art 129 §1º,Lei nº 9.279/1996 art. 129 § 1º,normalized,1
Lei nº 9.279/1996 art 19,Lei nº 9.279/1996 art. 19,normalized,1
Lei nº 9.279/1996 art 229 C,Lei nº 9.279/1996 art. 229 inc. C,normalized,1
Lei nº 9.279/1996 art. 124 V,Lei nº 9.279/1996 art. 124 inc. V,normalized,1
Lei nº 9.279/1996 artigo 129,Lei nº 9.279/1996 art. 129,normalized,1
Lei nº 9.279/1996 artigos 8 e 18,Lei nº 9.279/1996 art. 8º-E 18,normalized,1
Lei nº 9.286/1996,Lei nº 9.286/1996,unchanged,1
Lei nº 9.289/1996 art 11 § 1º,Lei nº 9.289/1996 art. 11 § 1º,normalized,1
Lei nº 9.289/1996 art 4 inciso I,Lei nº 9.289/1996 art. 4º inc. I,normalized,1
Lei nº 9.289/1996 art 4° inciso I,Lei nº 9.289/1996 art. 4° inc. I,normalized,1
Lei nº 9.289/1996 parágrafo único,Lei nº 9.289/1996 § único,normalized,1
Lei nº 9.295 1946,Lei nº 9.295/1946,normalized,1
Lei nº 9.296/1996 Art 1,Lei nº 9.296/1996 art. 1º,normalized,1
Lei nº 9.296/1996 Art 2,Lei nº 9.296/1996 art. 2º,normalized,1
Lei nº 9.296/1996 art 2º,Lei nº 9.296/1996 art. 2º,normalized,1
Lei nº 9.296/1996 art 2º inciso II,Lei nº 9.296/1996 art. 2º inc. II,normalized,1
Lei nº 9.311/1996 § 3º do art 11,Lei nº 9.311/1996 § 3º do art. 11,normalized,1
Lei nº 9.317 1996 art 9º XIII,Lei nº 9.317/1996 art. 9º XIII,normalized,1
Lei nº 9.350/1998,Lei nº 9.350/1998,unchanged,1
Lei nº 9.356/1997,Lei nº 9.356/1997,unchanged,1
Lei nº 9.393 1996 art 10,Lei nº 9.393/1996 art. 10,normalized,1
Lei nº 9.393/1996 Art 10,Lei nº 9.393/1996 art. 10,normalized,1
Lei nº 9.393/1996 art. 10 § 1º II,Lei nº 9.393/1996 art. 10 § 1º inc. II,normalized,1
Lei nº 9.393/1996 art. 14,Lei nº 9.393/1996 art. 14,unchanged,1
Lei nº 9.393/2018,Lei nº 9.393/2018,unchanged,1
Lei nº 9.394 1996 Art 47 § 2º,Lei nº 9.394/1996 art. 47 § 2º,normalized,1
Lei nº 9.394 1996 art 44 II,Lei nº 9.394/1996 art. 44 inc. II,normalized,1
Lei nº 9.394/1996 Art 2,Lei nº 9.394/1996 art. 2º,normalized,1
Lei nº 9.394/1996 Art 47 § 2º,Lei nº 9.394/1996 art. 47 § 2º,normalized,1
Lei nº 9.394/1996 Article 3,Lei nº 9.394/1996 art. 3º,normalized,1
Lei nº 9.394/1996 Artigo 2º,Lei nº 9.394/1996 art. 2º,normalized,1
Lei nº 9.394/1996 Artigo 43,Lei nº 9.394/1996 art. 43,normalized,1
Lei nº 9.394/1996 Artigo 48,Lei nº 9.394/1996 art. 48,normalized,1
Lei nº 9.394/1996 art 48 § 2º,Lei nº 9.394/1996 art. 48 § 2º,normalized,1
Lei nº 9.394/1996 art 49,Lei nº 9.394/1996 art. 49,normalized,1
Lei nº 9.394/1996 art 49 parágrafo único,Lei nº 9.394/1996 art. 49 § único,normalized,1
Lei nº 9.394/1996 art 53 V,Lei nº 9.394/1996 art. 53 inc. V,normalized,1
Lei nº 9.394/1996 art 78,Lei nº 9.394/1996 art. 78,normalized,1
Lei nº 9.394/1996 art. 48,Lei nº 9.394/1996 art. 48,unchanged,1
Lei nº 9.394/1996 article 58,Lei nº 9.394/1996 art. 58,normalized,1
Lei nº 9.394/1996 artigo 1o,Lei nº 9.394/1996 art. 1º,normalized,1
Lei nº 9.394/1996 artigo 23,Lei nº 9.394/1996 art. 23,normalized,1
Lei nº 9.394/1996 artigo 44,Lei nº 9.394/1996 art. 44,normalized,1
Lei nº 9.394/1996 artigo 46,Lei nº 9.394/1996 art. 46,normalized,1
Lei nº 9.394/1996 artigo 47 § 2º,Lei nº 9.394/1996 art. 47 § 2º,normalized,1
Lei nº 9.421/1996,Lei nº 9.421/1996,unchanged,1
Lei nº 9.424 1996,Lei nº 9.424/1996,normalized,1
Lei nº 9.424/1996 art 6º §1º,Lei nº 9.424/1996 art. 6º § 1º,normalized,1
Lei nº 9.425 1996,Lei nº 9.425/1996,normalized,1
Lei nº 9.430 1996,Lei nº 9.430/1996,normalized,1
Lei nº 9.430 1996 Art 61,Lei nº 9.430/1996 art. 61,normalized,1
Lei nº 9.430 1996 Art 74 § 17,Lei nº 9.430/1996 art. 74 § 17,normalized,1
Lei nº 9.430 1996 art 44 I,Lei nº 9.430/1996 art. 44 inc. I,normalized,1
Lei nº 9.430 1996 art 61 caput parágrafo 2º,Lei nº 9.430/1996 art. 61 caput § 2º,normalized,1
Lei nº 9.430 1996 art 61 § 2º,Lei nº 9.430/1996 art. 61 § 2º,normalized,1
Lei nº 9.430 1996 art 63 § 2º,Lei nº 9.430/1996 art. 63 § 2º,normalized,1
Lei nº 9.430 1996 art 74 §12 II c,Lei nº 9.430/1996 art. 74 § 12 inc. II al. c,normalized,1
Lei nº 9.430 1996 art 74 §12 II d,Lei nº 9.430/1996 art. 74 § 12 inc. II al. d,normalized,1
Lei nº 9.430/1966 art 44 inciso I,Lei nº 9.430/1966 art. 44 inc. I,normalized,1
Lei nº 9.430/1996 Art 24,Lei nº 9.430/1996 art. 24,normalized,1
Lei nº 9.430/1996 Art 61 § 3º,Lei nº 9.430/1996 art. 61 § 3º,normalized,1
Lei nº 9.430/1996 Art 74 § 17,Lei nº 9.430/1996 art. 74 § 17,normalized,1
Lei nº 9.430/1996 Art 74 §15,Lei nº 9.430/1996 art. 74 § 15,normalized,1
Lei nº 9.430/1996 Art 74 §17,Lei nº 9.430/1996 art. 74 § 17,normalized,1
Lei nº 9.430/1996 Artigo 74,Lei nº 9.430/1996 art. 74,normalized,1
Lei nº 9.430/1996 art 10,Lei nº 9.430/1996 art. 10,normalized,1
Lei nº 9.430/1996 art 2º,Lei nº 9.430/1996 art. 2º,normalized,1
Lei nº 9.430/1996 art 44 I,Lei nº 9.430/1996 art. 44 inc. I,normalized,1
Lei nº 9.430/1996 art 44 II,Lei nº 9.430/1996 art. 44 inc. II,normalized,1
Lei nº 9.430/1996 art 63 § 2º,Lei nº 9.430/1996 art. 63 § 2º,normalized,1
Lei nº 9.430/1996 art 64,Lei nº 9.430/1996 art. 64,normalized,1
Lei nº 9.430/1996 art 6º II,Lei nº 9.430/1996 art. 6º II,normalized,1
Lei nº 9.430/1996 art 70,Lei nº 9.430/1996 art. 70,normalized,1
Lei nº 9.430/1996 art 74 § 2º,Lei nº 9.430/1996 art. 74 § 2º,normalized,1
Lei nº 9.430/1996 art. 74,Lei nº 9.430/1996 art. 74,unchanged,1
Lei nº 9.430/1996 artigo 165,Lei nº 9.430/1996 art. 165,normalized,1
Lei nº 9.430/1996 §14 do Art 74,Lei nº 9.430/1996 § 14 do art. 74,normalized,1
Lei nº 9.455/1997 art 1º §1º,Lei nº 9.455/1997 art. 1º § 1º,normalized,1
Lei nº 9.455/1997 art 1º §2º,Lei nº 9.455/1997 art. 1º § 2º,normalized,1
Lei nº 9.455/1997 art 1º §4º,Lei nº 9.455/1997 art. 1º § 4º,normalized,1
Lei nº 9.455/1997 art 1º §5º,Lei nº 9.455/1997 art. 1º § 5º,normalized,1
Lei nº 9.456/1997,Lei nº 9.456/1997,unchanged,1
Lei nº 9.456/1997 Artigo 1,Lei nº 9.456/1997 art. 1º,normalized,1
Lei nº 9.459/1997,Lei nº 9.459/1997,unchanged,1
Lei nº 9.469/1997 art 5 parágrafo único,Lei nº 9.469/1997 art. 5º § único,normalized,1
Lei nº 9.472 1999,Lei nº 9.472/1999,normalized,1
Lei nº 9.472/1997 art 183,Lei nº 9.472/1997 art. 183,normalized,1
Lei nº 9.472/1997 art 19 IV,Lei nº 9.472/1997 art. 19 inc. IV,normalized,1
Lei nº 9.472/1997 art 19 X,Lei nº 9.472/1997 art. 19 inc. X,normalized,1
Lei nº 9.472/1997 art 19 XII,Lei nº 9.472/1997 art. 19 inc. XII,normalized,1
Lei nº 9.472/1997 art 19 XXXII,Lei nº 9.472/1997 art. 19 inc. XXXII,normalized,1
Lei nº 9.472/1997 artigo 1,Lei nº 9.472/1997 art. 1º,normalized,1
Lei nº 9.474/1997 art 43,Lei nº 9.474/1997 art. 43,normalized,1
Lei nº 9.474/1997 art 8º,Lei nº 9.474/1997 art. 8º,normalized,1
Lei nº 9.478/1997 arts 48 e 49,Lei nº 9.478/1997 art. 48-E 49,normalized,1
Lei nº 9.493/1997,Lei nº 9.493/1997,unchanged,1
Lei nº 9.494 1997 Art 2º-A,Lei nº 9.494/1997 art. 2º-A,normalized,1
Lei nº 9.494/1996 Art 15,Lei nº 9.494/1996 art. 15,normalized,1
Lei nº 9.494/1997 Art 2º A,Lei nº 9.494/1997 art. 2º A,normalized,1
Lei nº 9.494/1997 art 1º F,Lei nº 9.494/1997 art. 1º F,normalized,1
Lei nº 9.494/1997 artigo 5o,Lei nº 9.494/1997 art. 5º,normalized,1
Lei nº 9.494/2007,Lei nº 9.494/2007,unchanged,1
Lei nº 9.503 1997,Lei nº 9.503/1997,normalized,1
Lei nº 9.503/1997 art 1 §§ 2 a 5,Lei nº 9.503/1997 art. 1º § § 2º a 5,normalized,1
Lei nº 9.503/1997 art 12 I,Lei nº 9.503/1997 art. 12 inc. I,normalized,1
Lei nº 9.503/1997 art 123,Lei nº 9.503/1997 art. 123,normalized,1
Lei nº 9.503/1997 art 7 I,Lei nº 9.503/1997 art. 7º inc. I,normalized,1
Lei nº 9.503/1997 artigo 280,Lei nº 9.503/1997 art. 280,normalized,1
Lei nº 9.503/1997 artigo 281,Lei nº 9.503/1997 art. 281,normalized,1
Lei nº 9.503/1997 artigo 282,Lei nº 9.503/1997 art. 282,normalized,1
Lei nº 9.503/1997 par 1º,Lei nº 9.503/1997 § 1º,normalized,1
Lei nº 9.504/1997 Art 98,Lei nº 9.504/1997 art. 98,normalized,1
Lei nº 9.504/1997 art. 99,Lei nº 9.504/1997 art. 99,unchanged,1
Lei nº 9.504/1997 incisos IV e V,Lei nº 9.504/1997 inc. IV al. e V,normalized,1
Lei nº 9.506/1997,Lei nº 9.506/1997,unchanged,1
Lei nº 9.507/1997,Lei nº 9.507/1997,unchanged,1
Lei nº 9.507/1997 Art 1,Lei nº 9.507/1997 art. 1º,normalized,1
Lei nº 9.514 1997,Lei nº 9.514/1997,normalized,1
Lei nº 9.514 1997 art 26,Lei nº 9.514/1997 art. 26,normalized,1
Lei nº 9.514 1997 art 27,Lei nº 9.514/1997 art. 27,normalized,1
Lei nº 9.514 1997 art 27 §8,Lei nº 9.514/1997 art. 27 § 8º,normalized,1
Lei nº 9.514/1997 Art 26 A,Lei nº 9.514/1997 art. 26-A,normalized,1
Lei nº 9.514/1997 Art 27 A,Lei nº 9.514/1997 art. 27-A,normalized,1
Lei nº 9.514/1997 art 26 §3º,Lei nº 9.514/1997 art. 26 § 3º,normalized,1
Lei nº 9.514/1997 art 27 § 8º,Lei nº 9.514/1997 art. 27 § 8º,normalized,1
Lei nº 9.514/1997 art. 27 § 2º B,Lei nº 9.514/1997 art. 27 § 2º B,unchanged,1
Lei nº 9.514/1997 arts 26 e 27,Lei nº 9.514/1997 art. 26-E 27,normalized,1
Lei nº 9.514/1997 § 3º Art 26,Lei nº 9.514/1997 § 3º art. 26,normalized,1
Lei nº 9.514/1997 §§ 4º a 6º do art 27,Lei nº 9.514/1997 § § 4º a 6º do art. 27,normalized,1
Lei nº 9.515/1997,Lei nº 9.515/1997,unchanged,1
Lei nº 9.523 1997 Art 23 § 1º,Lei nº 9.523/1997 art. 23 § 1º,normalized,1
Lei nº 9.526/1997,Lei nº 9.526/1997,unchanged,1
Lei nº 9.527 1997,Lei nº 9.527/1997,normalized,1
Lei nº 9.527 1997 art 5º,Lei nº 9.527/1997 art. 5º,normalized,1
Lei nº 9.528/1997 art 31 Lei 8.213/1991,Lei nº 9.528/1997 art. 31 Lei 8.213/1991,normalized,1
Lei nº 9.532/1997 Art 64 caput,Lei nº 9.532/1997 art. 64 caput,normalized,1
Lei nº 9.532/1997 Art 64 § 7º,Lei nº 9.532/1997 art. 64 § 7º,normalized,1
Lei nº 9.532/1997 Art 64 §3º,Lei nº 9.532/1997 art. 64 § 3º,normalized,1
Lei nº 9.532/1997 Art 64 §4º,Lei nº 9.532/1997 art. 64 § 4º,normalized,1
Lei nº 9.532/1997 Art 64 §8º,Lei nº 9.532/1997 art. 64 § 8º,normalized,1
Lei nº 9.532/1997 Art 64 §9º,Lei nº 9.532/1997 art. 64 § 9º,normalized,1
Lei nº 9.532/1997 art 11,Lei nº 9.532/1997 art. 11,normalized,1
Lei nº 9.532/1997 artigo 64,Lei nº 9.532/1997 art. 64,normalized,1
Lei nº 9.532/1997 artigo 64 A,Lei nº 9.532/1997 art. 64-A,normalized,1
Lei nº 9.532/1997 parágrafo 3 do artigo 64,Lei nº 9.532/1997 § 3º do art. 64,normalized,1
Lei nº 9.532/1997 parágrafo 4 do artigo 64,Lei nº 9.532/1997 § 4º do art. 64,normalized,1
Lei nº 9.536 1997,Lei nº 9.536/1997,normalized,1
Lei nº 9.536 1997 art 1º,Lei nº 9.536/1997 art. 1º,normalized,1
Lei nº 9.536/1997,Lei nº 9.536/1997,unchanged,1
Lei nº 9.536/1997 Art. 1º,Lei nº 9.536/1997 art. 1º,normalized,1
Lei nº 9.536/1997 parágrafo único,Lei nº 9.536/1997 § único,normalized,1
Lei nº 9.537/1997 art 14,Lei nº 9.537/1997 art. 14,normalized,1
Lei nº 9.605 1998 Art 75,Lei nº 9.605/1998 art. 75,normalized,1
Lei nº 9.605 1998 Parágrafo 1º do Art 50 A,Lei nº 9.605/1998 § 1º do art. 50-A,normalized,1
Lei nº 9.605 1998 art 46,Lei nº 9.605/1998 art. 46,normalized,1
Lei nº 9.605 1998 art 46 parágrafo único,Lei nº 9.605/1998 art. 46 § único,normalized,1
Lei nº 9.605 1998 art 48,Lei nº 9.605/1998 art. 48,normalized,1
Lei nº 9.605 1998 art 50 A § 1º,Lei nº 9.605/1998 art. 50-A § 1º,normalized,1
Lei nº 9.605 1998 art 50-A,Lei nº 9.605/1998 art. 50-A,normalized,1
Lei nº 9.605 1998 art 54,Lei nº 9.605/1998 art. 54,normalized,1
Lei nº 9.605 1998 art 56,Lei nº 9.605/1998 art. 56,normalized,1
Lei nº 9.605 1998 art 70 §1º,Lei nº 9.605/1998 art. 70 § 1º,normalized,1
Lei nº 9.605 1998 art. 75,Lei nº 9.605/1998 art. 75,normalized,1
Lei nº 9.605/1998 1,Lei nº 9.605/1998 1,unchanged,1
Lei nº 9.605/1998 27,Lei nº 9.605/1998 27,unchanged,1
Lei nº 9.605/1998 Art 25 § 5º,Lei nº 9.605/1998 art. 25 § 5º,normalized,1
Lei nº 9.605/1998 Art 74,Lei nº 9.605/1998 art. 74,normalized,1
Lei nº 9.605/1998 Art 75,Lei nº 9.605/1998 art. 75,normalized,1
Lei nº 9.605/1998 art 25 § 3º,Lei nº 9.605/1998 art. 25 § 3º,normalized,1
Lei nº 9.605/1998 art 25 § 4º,Lei nº 9.605/1998 art. 25 § 4º,normalized,1
Lei nº 9.605/1998 art 28 I,Lei nº 9.605/1998 art. 28 inc. I,normalized,1
Lei nº 9.605/1998 art 29,Lei nº 9.605/1998 art. 29,normalized,1
Lei nº 9.605/1998 art 29 2º,Lei nº 9.605/1998 art. 29 2º,normalized,1
Lei nº 9.605/1998 art 29 § 2º,Lei nº 9.605/1998 art. 29 § 2º,normalized,1
Lei nº 9.605/1998 art 32,Lei nº 9.605/1998 art. 32,normalized,1
Lei nº 9.605/1998 art 32 §2º,Lei nº 9.605/1998 art. 32 § 2º,normalized,1
Lei nº 9.605/1998 art 34 parágrafo único inciso I,Lei nº 9.605/1998 art. 34 § único inc. I,normalized,1
Lei nº 9.605/1998 art 39,Lei nº 9.605/1998 art. 39,normalized,1
Lei nº 9.605/1998 art 3º parágrafo único,Lei nº 9.605/1998 art. 3º § único,normalized,1
Lei nº 9.605/1998 art 50 A § 1º,Lei nº 9.605/1998 art. 50-A § 1º,normalized,1
Lei nº 9.605/1998 art 54,Lei nº 9.605/1998 art. 54,normalized,1
Lei nº 9.605/1998 art 54 II,Lei nº 9.605/1998 art. 54 inc. II,normalized,1
Lei nº 9.605/1998 art 54 III,Lei nº 9.605/1998 art. 54 inc. III,normalized,1
Lei nº 9.605/1998 art 54 IV,Lei nº 9.605/1998 art. 54 inc. IV,normalized,1
Lei nº 9.605/1998 art 54 V,Lei nº 9.605/1998 art. 54 inc. V,normalized,1
Lei nº 9.605/1998 art 54 §2º,Lei nº 9.605/1998 art. 54 § 2º,normalized,1
Lei nº 9.605/1998 art 54 §3º,Lei nº 9.605/1998 art. 54 § 3º,normalized,1
Lei nº 9.605/1998 art 56,Lei nº 9.605/1998 art. 56,normalized,1
Lei nº 9.605/1998 art 6,Lei nº 9.605/1998 art. 6º,normalized,1
Lei nº 9.605/1998 art 72 IV,Lei nº 9.605/1998 art. 72 inc. IV,normalized,1
Lei nº 9.605/1998 art 72 IX,Lei nº 9.605/1998 art. 72 inc. IX,normalized,1
Lei nº 9.605/1998 art 72 VI,Lei nº 9.605/1998 art. 72 inc. VI,normalized,1
Lei nº 9.605/1998 art 72 XI,Lei nº 9.605/1998 art. 72 inc. XI,normalized,1
Lei nº 9.605/1998 art. 40,Lei nº 9.605/1998 art. 40,unchanged,1
Lei nº 9.605/1998 art. 40 A § 1º,Lei nº 9.605/1998 art. 40-A § 1º,normalized,1
Lei nº 9.605/1998 art. 40 caput,Lei nº 9.605/1998 art. 40 caput,unchanged,1
Lei nº 9.605/1998 art. 50 A,Lei nº 9.605/1998 art. 50-A,normalized,1
Lei nº 9.605/1998 art. 54 § 2° V,Lei nº 9.605/1998 art. 54 § 2° V,unchanged,1
Lei nº 9.605/1998 art. 72 VII,Lei nº 9.605/1998 art. 72 inc. VII,normalized,1
Lei nº 9.605/1998 artigo 2º,Lei nº 9.605/1998 art. 2º,normalized,1
Lei nº 9.605/1998 artigo 46 parágrafo único,Lei nº 9.605/1998 art. 46 § único,normalized,1
Lei nº 9.605/1998 artigo 72,Lei nº 9.605/1998 art. 72,normalized,1
Lei nº 9.605/1998 § 1º do Art 50 A,Lei nº 9.605/1998 § 1º do art. 50-A,normalized,1
Lei nº 9.605/1998 § 4º do art. 25,Lei nº 9.605/1998 § 4º do art. 25,unchanged,1
Lei nº 9.6051998 art 69,Lei nº 9.605/1998 art. 69,normalized,1
Lei nº 9.6051998 art 69-A,Lei nº 9.605/1998 art. 69-A,normalized,1
Lei nº 9.607/1998,Lei nº 9.607/1998,unchanged,1
Lei nº 9.609 1998,Lei nº 9.609/1998,normalized,1
Lei nº 9.610/1998 artigo 20,Lei nº 9.610/1998 art. 20,normalized,1
Lei nº 9.610/1998 artigo 29,Lei nº 9.610/1998 art. 29,normalized,1
Lei nº 9.611/1998,Lei nº 9.611/1998,unchanged,1
Lei nº 9.613 1998,Lei nº 9.613/1998,normalized,1
Lei nº 9.613 1998 Art 1,Lei nº 9.613/1998 art. 1º,normalized,1
Lei nº 9.613 1998 Art 1º caput,Lei nº 9.613/1998 art. 1º caput,normalized,1
Lei nº 9.613 1998 Art 1º inciso VI,Lei nº 9.613/1998 art. 1º inc. VI,normalized,1
Lei nº 9.613 1998 Art 2º § 2º,Lei nº 9.613/1998 art. 2º § 2º,normalized,1
Lei nº 9.613 1998 art 1 § 1 II,Lei nº 9.613/1998 art. 1º § 1º inc. II,normalized,1
Lei nº 9.613 1998 art 1º,Lei nº 9.613/1998 art. 1º,normalized,1
Lei nº 9.613 1998 art 4 § 1,Lei nº 9.613/1998 art. 4º § 1º,normalized,1
Lei nº 9.613/1998 art 1,Lei nº 9.613/1998 art. 1º,normalized,1
Lei nº 9.613/1998 art 1º V,Lei nº 9.613/1998 art. 1º V,normalized,1
Lei nº 9.613/1998 art 2,Lei nº 9.613/1998 art. 2º,normalized,1
Lei nº 9.613/1998 art 2º II,Lei nº 9.613/1998 art. 2º II,normalized,1
Lei nº 9.613/1998 art 2º § 1º,Lei nº 9.613/1998 art. 2º § 1º,normalized,1
Lei nº 9.613/1998 art 4º,Lei nº 9.613/1998 art. 4º,normalized,1
Lei nº 9.613/1998 art. 1º § 5º,Lei nº 9.613/1998 art. 1º § 5º,unchanged,1
Lei nº 9.613/1998 artigo 1,Lei nº 9.613/1998 art. 1º,normalized,1
Lei nº 9.624/1996,Lei nº 9.624/1996,unchanged,1
Lei nº 9.624/1998 art 14 § 2º,Lei nº 9.624/1998 art. 14 § 2º,normalized,1
Lei nº 9.6241998 Art 14 § 1º,Lei nº 9.624/1998 art. 14 § 1º,normalized,1
Lei nº 9.6313/1998,Lei nº 9.631 3/1998,normalized,1
Lei nº 9.636 1998,Lei nº 9.636/1998,normalized,1
Lei nº 9.636 1998 art 47,Lei nº 9.636/1998 art. 47,normalized,1
Lei nº 9.637/1998,Lei nº 9.637/1998,unchanged,1
Lei nº 9.637/2002,Lei nº 9.637/2002,unchanged,1
Lei nº 9.638 1981 art 17 B,Lei nº 9.638/1981 art. 17-B,normalized,1
Lei nº 9.639/1998,Lei nº 9.639/1998,unchanged,1
Lei nº 9.649 1998 art 58 § 3º,Lei nº 9.649/1998 art. 58 § 3º,normalized,1
Lei nº 9.649/1998 art 58,Lei nº 9.649/1998 art. 58,normalized,1
Lei nº 9.649/1998 art 58 § 3º,Lei nº 9.649/1998 art. 58 § 3º,normalized,1
Lei nº 9.649/1998 art. 58 § 3º,Lei nº 9.649/1998 art. 58 § 3º,unchanged,1
