page_id,numero_processo,informativo,classe_before,classe_after,subramo_before,subramo_after,updated_properties,error,page_url
30d72195-5c64-8141-afa3-e074e9f6cf73,0041911-89.2012.4.01.3400,684,,EDReeNec,"Direito Registral e Notarial, Servidores Públicos",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""944c629c-90aa-42d2-8f49-445f8c722d89""}",https://www.notion.so/Natureza-jur-dica-dos-not-rios-e-registradores-como-delegat-rios-de-servi-o-p-blico-privado-e-contro-30d721955c648141afa3e074e9f6cf73
30d72195-5c64-814f-8403-f9a1bc9e0479,0064415-70.2013.4.01.0000,718,,AgInt,Honorários Advocatícios,"Honorários Advocatícios, Execução Contra a Fazenda Pública","classe, subramo_do_direito","http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""e1e6d859-0821-45d8-9497-cb806331f6fb""}",https://www.notion.so/Expedi-o-de-RPV-para-pagamento-de-honor-rios-advocat-cios-devidos-por-Minist-rio-P-blico-Federal-in-30d721955c64814f8403f9a1bc9e0479
30d72195-5c64-8152-9849-f7ec74c943d3,1006938-91.2021.4.01.0000,729,,AgIntAI,"Direito Administrativo Disciplinar, Direito Previdenciário",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""9f036b54-a9a9-41f3-a6a4-19a929ff3161""}",https://www.notion.so/Reconhecimento-da-inclus-o-da-parcela-op-o-prevista-na-Lei-8-911-1994-nos-proventos-de-servidor-q-30d721955c6481529849f7ec74c943d3
30d72195-5c64-8154-afb1-ca91db34e4ae,0008476-18.2012.4.01.3500,761,,REsp,"Honorários Advocatícios, Processo de Execução",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""741bdd93-21cb-4e85-a654-c7cd60c21e8d""}",https://www.notion.so/Possibilidade-de-fixa-o-aut-noma-de-honor-rios-advocat-cios-em-embargos-execu-o-e-na-execu-o-o-30d721955c648154afb1ca91db34e4ae
30d72195-5c64-8157-add1-ef1a46ee4a0e,1018963-68.2023.4.01.0000,662,,AgIntCr,"Direito Penal Material, Processo Penal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""71e403fa-aa3b-4a30-867c-f23986d1ac19""}",https://www.notion.so/Cabimento-de-habeas-corpus-contra-atos-de-juiz-do-trabalho-diante-de-risco-iminente-de-pris-o-por-re-30d721955c648157add1ef1a46ee4a0e
30d72195-5c64-8159-af7c-f6217fb33040,1012655-50.2022.4.01.0000,630,,AG,"Direito Administrativo Sancionador, Processual Civil",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""e60c66df-8f0a-4677-8852-62629fe3d9aa""}",https://www.notion.so/Aplica-o-das-altera-es-da-Lei-14-230-2021-Lei-de-Improbidade-8-429-1992-e-efeitos-sobre-possib-30d721955c648159af7cf6217fb33040
30d72195-5c64-815d-b644-fa6c2449dd9b,0072821-94.2015.4.01.3400,732,,AgIntApReeNec,"Direito Previdenciário, Direito Tributário",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""b1809c62-cc78-431a-9bc2-4934ee3e116d""}",https://www.notion.so/Incid-ncia-de-contribui-o-previdenci-ria-sobre-sal-rio-paternidade-em-raz-o-de-sua-natureza-salaria-30d721955c64815db644fa6c2449dd9b
30d72195-5c64-815e-be77-cc059166482d,1025392-90.2019.4.01.0000,729,,AgIntAI,"Controle de Constitucionalidade, Processo de Execução",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""ac47b40f-5e51-4db8-9ff3-933d55d1e38e""}",https://www.notion.so/Aplica-o-do-entendimento-do-STF-sobre-efic-cia-rescis-ria-por-inconstitucionalidade-e-sua-incid-nci-30d721955c64815ebe77cc059166482d
30d72195-5c64-8160-951b-c4f4bf72a1b2,1001194-13.2020.4.01.3602,755,,EDCrim,"Direito Penal Substantivo, Direito Processual Penal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""1abf9888-1eec-4b93-a9a6-c376c5a82bdc""}",https://www.notion.so/Atenuante-da-confiss-o-espont-nea-art-65-III-d-CP-aplicada-confiss-o-parcial-em-crimes-previ-30d721955c648160951bc4f4bf72a1b2
30d72195-5c64-816a-b48b-d2be033339d1,1011072-25.2025.4.01.0000,754,,AgIntCrim,"Direito Ambiental, Processo Penal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""5d59de03-8402-43d2-91bf-8629080e8fb4""}",https://www.notion.so/Dep-sito-judicial-do-valor-de-madeiras-apreendidas-ante-impossibilidade-de-individualiza-o-sem-viol-30d721955c64816ab48bd2be033339d1
30d72195-5c64-816f-ac96-dd49729a45d7,0011143-31.2014.4.01.4300,758,,EDCrim,Direito Penal Administrativo,"Direito Penal Administrativo, Processo Penal","classe, subramo_do_direito","http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""bfbc4dae-b58b-4677-80d9-641084380804""}",https://www.notion.so/Gest-o-fraudulenta-de-instituto-de-previd-ncia-municipal-por-equipara-o-a-institui-o-financeira-e--30d721955c64816fac96dd49729a45d7
30d72195-5c64-8172-90f7-df60efd76123,1035933-17.2021.4.01.0000,729,,AgInt,Honorários Advocatícios,"Honorários Advocatícios, Execução","classe, subramo_do_direito","http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""e9c53f2d-5827-4752-932c-b9af5d9ce16a""}",https://www.notion.so/Execu-o-de-honor-rios-sucumbenciais-e-veda-o-penhora-de-sal-rios-discutindo-aplica-o-do-Tema-R-30d721955c64817290f7df60efd76123
30d72195-5c64-8173-ae16-e38f9219ff41,1008409-40.2024.4.01.0000,732,,AgInt,"Direito Constitucional, Direito Educacional",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""4b3a5944-e5d4-4841-b6fb-3e99bd14b516""}",https://www.notion.so/Validade-constitucional-de-limita-o-percentual-de-reserva-de-vagas-para-cotistas-e-legitimidade-da--30d721955c648173ae16e38f9219ff41
