before,after,rows
"CF/88, Lei 2.123 1953 art 1º, Lei 4.069 1962 art 17 parágrafo único, Lei nº 9.527 1997 art 5º","Lei nº 2.123/1953 art. 1º, Lei nº 4.069/1962 art. 17 § único, Lei nº 9.527/1997 art. 5º",1
"CF/88, Lei 3.373/1958",Lei nº 3.373/1958,1
"CF/88, Lei 3.765 1960 art 15 parágrafo único",Lei nº 3.765/1960 art. 15 § único,1
"CF/88, Lei 3.765 1960, Lei 4.242 1963 art 30, Lei 8.059 1990","Lei nº 3.765/1960, Lei nº 4.242/1963 art. 30, Lei nº 8.059/1990",1
"CF/88, Lei 3.765 1960, Lei 6.880 1980 Art 50 §2º IV","Lei nº 3.765/1960, Lei nº 6.880/1980 art. 50 § 2º inc. IV",1
"CF/88, Lei 3.765/1960 art 29 inciso II",Lei nº 3.765/1960 art. 29 inc. II,1
"CF/88, Lei 3.807 1960, Lei 8.213 1991","Lei nº 3.807/1960, Lei nº 8.213/1991",1
"CF/88, Lei 4.878/1965, Lei 8.112/1990","Lei nº 4.878/1965, Lei nº 8.112/1990",1
"CF/88, Lei 5.070/1966, Lei 9.472/1997","Lei nº 5.070/1966, Lei nº 9.472/1997",1
"CF/88, Lei 5.371/1967",Lei nº 5.371/1967,1
"CF/88, Lei 5.517 1968",Lei nº 5.517/1968,1
"CF/88, Lei 5.764/1971",Lei nº 5.764/1971,1
"CF/88, Lei 5.764/1971 art. 79",Lei nº 5.764/1971 art. 79,1
"CF/88, Lei 6.830 1980, Lei 8.981 1995, Lei 9.065 1995","Lei nº 6.830/1980, Lei nº 8.981/1995, Lei nº 9.065/1995",1
"CF/88, Lei 6.830/1980 art. 3º",Lei nº 6.830/1980 art. 3º,1
"CF/88, Lei 6.880 1980 art 50 inciso IV alínea a",Lei nº 6.880/1980 art. 50 inc. IV al. a,1
"CF/88, Lei 6.880 1980, Lei 9.519 1997","Lei nº 6.880/1980, Lei nº 9.519/1997",1
"CF/88, Lei 6.880/1980 art 108 III, Lei 6.880/1980 art 109 §§ 2º e 3º, Lei 6.880/1980 art 82 inciso I, Lei nº 13.954/2019","Lei nº 6.880/1980 art. 108 inc. III, Lei nº 6.880/1980 art. 109 § § 2º e 3º, Lei nº 6.880/1980 art. 82 inc. I, Lei nº 13.954/2019",1
"CF/88, Lei 6.938 1981",Lei nº 6.938/1981,1
"CF/88, Lei 6.938 1981 art 17 B",Lei nº 6.938/1981 art. 17-B,1
"CF/88, Lei 6.938/1981 art 14 § 1º",Lei nº 6.938/1981 art. 14 § 1º,1
"CF/88, Lei 7.210/1984 Art 65",Lei nº 7.210/1984 art. 65,1
"CF/88, Lei 7.713 1988 art 6º XIV",Lei nº 7.713/1988 art. 6º XIV,1
"CF/88, Lei 7.713/1988 art 6º XIV 1ª parte",Lei nº 7.713/1988 art. 6º XIV 1ª parte,1
"CF/88, Lei 7.853/1989, Lei 8.989/1995","Lei nº 7.853/1989, Lei nº 8.989/1995",1
"CF/88, Lei 8.078/1990 Art 14 §3º II, Lei nº 9.472/1997","Lei nº 8.078/1990 art. 14 § 3º inc. II, Lei nº 9.472/1997",1
"CF/88, Lei 8.112 1990 Art 20, Lei 8.112 1990 § 5º do Art 20","Lei nº 8.112/1990 art. 20, Lei nº 8.112/1990 § 5º do art. 20",1
"CF/88, Lei 8.112 1990 art 102",Lei nº 8.112/1990 art. 102,1
"CF/88, Lei 8.112 1990 art 173 I",Lei nº 8.112/1990 art. 173 inc. I,1
"CF/88, Lei 8.112 1990 art 226",Lei nº 8.112/1990 art. 226,1
"CF/88, Lei 8.112 1990 art 3º",Lei nº 8.112/1990 art. 3º,1
"CF/88, Lei 8.112 1990 art 58 caput",Lei nº 8.112/1990 art. 58 caput,1
"CF/88, Lei 8.112 1990 art. 102 VIII b, Lei 8.112 1990 art. 77 caput","Lei nº 8.112/1990 art. 102 inc. VIII al. b, Lei nº 8.112/1990 art. 77 caput",1
"CF/88, Lei 8.112 1990, Lei Complementar 35 1979, Resolução CJF 256 2002","Lei nº 8.112/1990, LC nº 35/1979, Resolução CJF 256 2002",1
"CF/88, Lei 8.112 217 II d, Lei 9.717 5","Lei nº 8.112 217 II d, Lei nº 9.717 5",1
"CF/88, Lei 8.112 68 § 2°",Lei nº 8.112 68 § 2°,1
"CF/88, Lei 8.112/1990",Lei nº 8.112/1990,1
"CF/88, Lei 8.112/1990 Art 58 § 1º, Lei 8.745/1993","Lei nº 8.112/1990 art. 58 § 1º, Lei nº 8.745/1993",1
"CF/88, Lei 8.112/1990 art 143",Lei nº 8.112/1990 art. 143,1
"CF/88, Lei 8.112/1990 art 37 inciso I",Lei nº 8.112/1990 art. 37 inc. I,1
"CF/88, Lei 8.112/1990 art 77 § 1º",Lei nº 8.112/1990 art. 77 § 1º,1
"CF/88, Lei 8.112/1990 art. 98 § 3º, Lei nº 13.146/2015","Lei nº 8.112/1990 art. 98 § 3º, Lei nº 13.146/2015",1
"CF/88, Lei 8.112/1990 § 3º do art. 142",Lei nº 8.112/1990 § 3º do art. 142,1
"CF/88, Lei 8.137 1990",Lei nº 8.137/1990,1
"CF/88, Lei 8.137 1990 Art 2",Lei nº 8.137/1990 art. 2º,1
"CF/88, Lei 8.1371990 art 1º inciso I",Lei nº 8.137/1990 art. 1º inc. I,1
"CF/88, Lei 8.161/1991, Lei nº 11.344/2006","Lei nº 8.161/1991, Lei nº 11.344/2006",1
"CF/88, Lei 8.176 1991 art. 2º § 1º, Lei 9.605 1998 art. 3º, Lei 9.605 1998 art. 55","Lei nº 8.176/1991 art. 2º § 1º, Lei nº 9.605/1998 art. 3º, Lei nº 9.605/1998 art. 55",1
"CF/88, Lei 8.212 1991 art 22 I, Lei 8.212 1991 art 28 § 9º","Lei nº 8.212/1991 art. 22 inc. I, Lei nº 8.212/1991 art. 28 § 9º",1
"CF/88, Lei 8.212/1991 art 15 II, Lei 8.213/1991 art 15 §§ 1º e 2º, Lei 8.213/1991 art 25 III, Lei 9.876/1999 art 2º","Lei nº 8.212/1991 art. 15 inc. II, Lei nº 8.213/1991 art. 15 § § 1º e 2º, Lei nº 8.213/1991 art. 25 inc. III, Lei nº 9.876/1999 art. 2º",1
"CF/88, Lei 8.212/1991 art 28 § 9º alínea s",Lei nº 8.212/1991 art. 28 § 9º al. s,1
"CF/88, Lei 8.213 1991 art 16 §2º, Lei 8069 1990 art 33 §3º, Lei 9528 1997, MP 1523 1996","Lei nº 8.213/1991 art. 16 § 2º, Lei nº 8.069/1990 art. 33 § 3º, Lei nº 9.528/1997, MP nº 1523/1996",1
"CF/88, Lei 8.213 1991 art 18 § 2º",Lei nº 8.213/1991 art. 18 § 2º,1
"CF/88, Lei 8.213 1991 art 55 II",Lei nº 8.213/1991 art. 55 inc. II,1
"CF/88, Lei 8.213 1991 art 58",Lei nº 8.213/1991 art. 58,1
"CF/88, Lei 8.213 1991 art 60 § 8º, Lei dos Benefícios art 27 A","Lei nº 8.213/1991 art. 60 § 8º, Lei dos Benefícios art. 27-A",1
"CF/88, Lei 8.213 1991, Lei 9.528 1997","Lei nº 8.213/1991, Lei nº 9.528/1997",1
"CF/88, Lei 8.213/1991 art 18 § 2º",Lei nº 8.213/1991 art. 18 § 2º,1
"CF/88, Lei 8.213/1991 art 31, Lei 8.213/1991 art 34, Lei nº 9.528/1997 art 31 Lei 8.213/1991","Lei nº 8.213/1991 art. 31, Lei nº 8.213/1991 art. 34, Lei nº 9.528/1997 art. 31 Lei 8.213/1991",1
"CF/88, Lei 8.213/1991, Lei 9.796/1999","Lei nº 8.213/1991, Lei nº 9.796/1999",1
"CF/88, Lei 8.429 1992 Art 11, Lei 8.429 1992 Art 17 § 8º","Lei nº 8.429/1992 art. 11, Lei nº 8.429/1992 art. 17 § 8º",1
"CF/88, Lei 8.660 1993 art 7º, Lei 9.289 1996 art 11 § 1º","Lei nº 8.660/1993 art. 7º, Lei nº 9.289/1996 art. 11 § 1º",1
"CF/88, Lei 8.745 1993 Art 9º inciso III",Lei nº 8.745/1993 art. 9º inc. III,1
"CF/88, Lei 8.906 1994",Lei nº 8.906/1994,1
"CF/88, Lei 8.906/1994 art 7º II",Lei nº 8.906/1994 art. 7º II,1
"CF/88, Lei 9.421/1996",Lei nº 9.421/1996,1
"CF/88, Lei 9.514/1997",Lei nº 9.514/1997,1
"CF/88, Lei 9.605 1998",Lei nº 9.605/1998,1
"CF/88, Lei 9.605 1998 Artigo 34 Parágrafo único III",Lei nº 9.605/1998 art. 34 § único III,1
"CF/88, Lei 9.703/1998 art 1°",Lei nº 9.703/1998 art. 1°,1
"CF/88, Lei 9.784/1999",Lei nº 9.784/1999,1
"CF/88, Lei 9.784/1999 art. 54, Portaria 1.104/1964, Portaria 2.100 29/07/2004","Lei nº 9.784/1999 art. 54, Portaria 1.104/1964, Portaria 2.100 29/07/2004",1
"CF/88, Lei 9.870 1999 art 6º",Lei nº 9.870/1999 art. 6º,1
"CF/88, Lei 9.873/1999",Lei nº 9.873/1999,1
"CF/88, Lei 9.985 17 §1º",Lei nº 9.985 17 § 1º,1
"CF/88, Lei 9536 1998, Lei 9630 1998, MP 1415 1996","Lei nº 9.536/1998, Lei nº 9.630/1998, MP nº 1415/1996",1
"CF/88, Lei Complementar 101 2000",LC nº 101/2000,1
"CF/88, Lei Complementar 101 25",LC nº 101 25,1
"CF/88, Lei Complementar 101/2000",LC nº 101/2000,1
"CF/88, Lei Complementar 105 2001, Lei nº 105/2001","LC nº 105/2001, Lei nº 105/2001",1
"CF/88, Lei Complementar 105/2001, Lei nº 10.174/2001, Lei nº 9.430/1996 Art 42","LC nº 105/2001, Lei nº 10.174/2001, Lei nº 9.430/1996 art. 42",1
"CF/88, Lei Complementar 109 2001 art 69 § 1º, Lei nº 9.781 1998 art 3 § 1º","LC nº 109/2001 art. 69 § 1º, Lei nº 9.781/1998 art. 3º § 1º",1
"CF/88, Lei Complementar 118 2005, Lei nº 8.009 1990","LC nº 118/2005, Lei nº 8.009/1990",1
"CF/88, Lei Complementar 123 2006",LC nº 123/2006,1
"CF/88, Lei Complementar 140 2011 art 8º inciso XX, Lei Estadual 9906 2009 art 6º inciso III","LC nº 140/2011 art. 8º inc. XX, Lei Estadual. 9906 2009 art. 6º inc. III",1
"CF/88, Lei Complementar 142 2013",LC nº 142/2013,1
"CF/88, Lei Complementar 142 2013, Lei nº 10.259 2001, Portaria Interministerial SDH MPS MPOG AGU 1 2014","LC nº 142/2013, Lei nº 10.259/2001, Portaria Interministerial. SDH MPS MPOG AGU 1 2014",1
"CF/88, Lei Complementar 150/2015, Lei n. 12.873/2013, Lei nº 8.213/1991 artigo 39 inciso I","LC nº 150/2015, Lei nº 12.873/2013, Lei nº 8.213/1991 art. 39 inc. I",1
"CF/88, Lei Complementar 20 2003 Estado da Bahia",LC nº 20/2003 Estado da Bahia,1
"CF/88, Lei Complementar 35 1979 art 33 inciso V, Lei nº 10.826 2003 art 4º","LC nº 35/1979 art. 33 inc. V, Lei nº 10.826/2003 art. 4º",1
"CF/88, Lei Complementar 64 1990, Lei nº 8.112 1990 Art 86 § 2º","LC nº 64/1990, Lei nº 8.112/1990 art. 86 § 2º",1
"CF/88, Lei Complementar 64/1990 art 1º II alínea l, Lei nº 8.112/1990 Art 86","LC nº 64/1990 art. 1º II al. l, Lei nº 8.112/1990 art. 86",1
"CF/88, Lei Complementar 76 1993",LC nº 76/1993,1
"CF/88, Lei Complementar 8 1970",LC nº 8/1970,1
"CF/88, Lei Complementar 80/1994 art 4º §6º, Lei nº 8.906/1994 art 3º §1º","LC nº 80/1994 art. 4º § 6º, Lei nº 8.906/1994 art. 3º § 1º",1
"CF/88, Lei Complementar Estadual 20 2003",Lei Complementar Estadual. 20 2003,1
"CF/88, Lei Estadual 5.297 2021, Lei nº 10.826 2003","Lei Estadual. 5.297 2021, Lei nº 10.826/2003",1
"CF/88, Lei Federal 7.102 1983",Lei Federal. 7.102 1983,1
"CF/88, Lei complementar 118/2005",LC nº 118/2005,1
"CF/88, Lei de Execuções Penais, Lei de Execuções Penais art 126 §4º","Lei de Execuções Penais, Lei de Execuções Penais art. 126 § 4º",1
"CF/88, Lei de Introdução às normas do Direito Brasileiro art. 5º § 2º, Lei nº 11.784/2008, Lei nº 11.907/2009 art. 284 IX, Lei nº 8.112/1990 arts. 68 a 70, Lei nº 8.216/1991 art. 16, Lei nº 8.270/1991 § 5º do art. 12","Lei de Introdução às normas do Direito Brasileiro art. 5º § 2º, Lei nº 11.784/2008, Lei nº 11.907/2009 art. 284 inc. IX, Lei nº 8.112/1990 art. 68-A 70, Lei nº 8.216/1991 art. 16, Lei nº 8.270/1991 § 5º do art. 12",1
"CF/88, Lei n. 8.213/91 art. 42",Lei nº 8.213/1991 art. 42,1
"CF/88, Lei n6.438/1976",Lei nº 6.438/1976,1
"CF/88, Lei nº 1.234/1950, Lei nº 11.907/2009, Lei nº 8.112/1990","Lei nº 1.234/1950, Lei nº 11.907/2009, Lei nº 8.112/1990",1
"CF/88, Lei nº 1.533/1951",Lei nº 1.533/1951,1
"CF/88, Lei nº 1.711/1952 Arts 116 e 117, Lei nº 8.112/1990 Arts 87 e 88","Lei nº 1.711/1952 art. 116-E 117, Lei nº 8.112/1990 art. 87-E 88",1
"CF/88, Lei nº 10.101/2000, Medida Provisória 794/1994","Lei nº 10.101/2000, MP nº 794/1994",1
"CF/88, Lei nº 10.150/2000",Lei nº 10.150/2000,1
"CF/88, Lei nº 10.233 2001",Lei nº 10.233/2001,1
"CF/88, Lei nº 10.233 2001, Resolução ANTT 233 2003","Lei nº 10.233/2001, Resolução ANTT 233 2003",1
"CF/88, Lei nº 10.251/2001 art 3º § 1º III",Lei nº 10.251/2001 art. 3º § 1º inc. III,1
"CF/88, Lei nº 10.256 2001, Lei nº 8.212 1991 art 22A","Lei nº 10.256/2001, Lei nº 8.212/1991 art. 22A",1
"CF/88, Lei nº 10.256/2001",Lei nº 10.256/2001,1
"CF/88, Lei nº 10.256/2001, Resolução 15/2017 do Senado Federal","Lei nº 10.256/2001, Resolução 15/2017 do Senado Federal",1
"CF/88, Lei nº 10.259 2001 Art 14",Lei nº 10.259/2001 art. 14,1
"CF/88, Lei nº 10.259/2001 Art 12",Lei nº 10.259/2001 art. 12,1
"CF/88, Lei nº 10.259/2001 Art 3 § 1º",Lei nº 10.259/2001 art. 3º § 1º,1
"CF/88, Lei nº 10.259/2001 Art 3º §1º III",Lei nº 10.259/2001 art. 3º § 1º inc. III,1
"CF/88, Lei nº 10.259/2001 art 1º",Lei nº 10.259/2001 art. 1º,1
"CF/88, Lei nº 10.259/2001 art 3 §1 inciso IV",Lei nº 10.259/2001 art. 3º § 1º inc. IV,1
"CF/88, Lei nº 10.259/2001 art 3º §1º inciso III",Lei nº 10.259/2001 art. 3º § 1º inc. III,1
"CF/88, Lei nº 10.259/2001 art 3º §1º inciso IV",Lei nº 10.259/2001 art. 3º § 1º inc. IV,1
"CF/88, Lei nº 10.259/2001, Lei nº 13.982/2020, Regimento Interno art 3º inciso I, Regimento Interno art 8º § 1º inciso II","Lei nº 10.259/2001, Lei nº 13.982/2020, Regimento Interno art. 3º inc. I, Regimento Interno art. 8º § 1º inc. II",1
"CF/88, Lei nº 10.260 2001 art 10 § 3º, Lei nº 10.260 2001 art 19 caput §§ 1º 2º 3º 4º 5º, Lei nº 10.260 2001 arts 12 caput inciso IV","Lei nº 10.260/2001 art. 10 § 3º, Lei nº 10.260/2001 art. 19 caput § § 1º 2º 3º 4º 5º, Lei nº 10.260/2001 art. 12 caput inc. IV",1
"CF/88, Lei nº 10.260/2001 art 6º-B § 3º, Portaria Conjunta 3/2013 do Ministério da Saúde","Lei nº 10.260/2001 art. 6º-B § 3º, Portaria Conjunta 3/2013 do Ministério da Saúde",1
"CF/88, Lei nº 10.260/2001, Lei nº 10.260/2001 art 4º, Lei nº 10.260/2001 art 4º-B","Lei nº 10.260/2001, Lei nº 10.260/2001 art. 4º, Lei nº 10.260/2001 art. 4º-B",1
"CF/88, Lei nº 10.260/2001, Lei nº 12.102/2010, Portaria Normativa MEC 08/2015","Lei nº 10.260/2001, Lei nº 12.102/2010, Portaria Normativa MEC 08/2015",1
"CF/88, Lei nº 10.260/2001, Portaria Normativa 25/2011","Lei nº 10.260/2001, Portaria Normativa 25/2011",1
"CF/88, Lei nº 10.356 2001",Lei nº 10.356/2001,1
"CF/88, Lei nº 10.426 2002 artigo 7º inciso II",Lei nº 10.426/2002 art. 7º inc. II,1
"CF/88, Lei nº 10.438/2002",Lei nº 10.438/2002,1
"CF/88, Lei nº 10.438/2002 artigo relativo ao reembolso, Lei nº 10.762/2003 que alterou a Lei nº 10.438/2002, Lei nº 8.987/1995 art 9 § 4º, Resolução 223/2003 ANEEL, Resolução 365/2009 ANEEL, Resolução 368/2009 ANEEL","Lei nº 10.438/2002 art. relativo ao reembolso, Lei nº 10.762/2003 que alterou a Lei nº 10.438/2002, Lei nº 8.987/1995 art. 9º § 4º, Resolução 223/2003 ANEEL, Resolução 365/2009 ANEEL, Resolução 368/2009 ANEEL",1
"CF/88, Lei nº 10.470/2002 art 12 §1º inciso III alínea c, Medida Provisória 163/2004","Lei nº 10.470/2002 art. 12 § 1º inc. III al. c, MP nº 163/2004",1
"CF/88, Lei nº 10.475/2002",Lei nº 10.475/2002,1
"CF/88, Lei nº 10.476/2002",Lei nº 10.476/2002,1
"CF/88, Lei nº 10.486 2002 art 20, Lei nº 10.486 2002 art 21","Lei nº 10.486/2002 art. 20, Lei nº 10.486/2002 art. 21",1
"CF/88, Lei nº 10.520/2002 art. 4º inciso XVIII",Lei nº 10.520/2002 art. 4º inc. XVIII,1
"CF/88, Lei nº 10.522 2002",Lei nº 10.522/2002,1
"CF/88, Lei nº 10.522 2002 Art 26",Lei nº 10.522/2002 art. 26,1
"CF/88, Lei nº 10.522/2002",Lei nº 10.522/2002,1
"CF/88, Lei nº 10.522/2002 art 20, Lei nº 9.469/1997 art 1º A, Portaria MF 75/2012","Lei nº 10.522/2002 art. 20, Lei nº 9.469/1997 art. 1º A, Portaria MF 75/2012",1
"CF/88, Lei nº 10.522/2002 artigos 18 e 19, Lei nº 12.844/2013","Lei nº 10.522/2002 art. 18-E 19, Lei nº 12.844/2013",1
"CF/88, Lei nº 10.522/2002, Lei nº 9.639/1998","Lei nº 10.522/2002, Lei nº 9.639/1998",1
"CF/88, Lei nº 10.522/2002, Lei nº 9.964/2000","Lei nº 10.522/2002, Lei nº 9.964/2000",1
"CF/88, Lei nº 10.529 2002, Lei nº 10.559 2002","Lei nº 10.529/2002, Lei nº 10.559/2002",1
"CF/88, Lei nº 10.559 2002",Lei nº 10.559/2002,1
"CF/88, Lei nº 10.559 2002 art 6 § 1º",Lei nº 10.559/2002 art. 6º § 1º,1
"CF/88, Lei nº 10.559 2002, art. 18 caput da Lei nº 10.559 2002, art. 18 parágrafo único da Lei nº 10.559 2002, arts. 12 § 4º da Lei nº 10.559 2002","Lei nº 10.559/2002, art. 18 caput da Lei nº 10.559/2002, art. 18 § único da Lei nº 10.559/2002, art. 12 § 4º da Lei nº 10.559/2002",1
"CF/88, Lei nº 10.637 2002, Lei nº 10.833 2003","Lei nº 10.637/2002, Lei nº 10.833/2003",1
"CF/88, Lei nº 10.637/2002 artigo 3º II, Lei nº 10.833/2003 artigo 3º II, Lei nº 11.033/2004 artigo 17, Lei nº 14.592/2023","Lei nº 10.637/2002 art. 3º II, Lei nº 10.833/2003 art. 3º II, Lei nº 11.033/2004 art. 17, Lei nº 14.592/2023",1
"CF/88, Lei nº 10.637/2002, Lei nº 10.833/2003, Lei nº 9.249/1995, Lei nº 9.718/1998","Lei nº 10.637/2002, Lei nº 10.833/2003, Lei nº 9.249/1995, Lei nº 9.718/1998",1
"CF/88, Lei nº 10.666/2003 Art 3 §1º, Lei nº 8.213/1991 Art 142, Lei nº 8.213/1991 Art 96 II","Lei nº 10.666/2003 art. 3º § 1º, Lei nº 8.213/1991 art. 142, Lei nº 8.213/1991 art. 96 inc. II",1
"CF/88, Lei nº 10.666/2003 art 4º, Medida Provisória 83/2002","Lei nº 10.666/2003 art. 4º, MP nº 83/2002",1
"CF/88, Lei nº 10.667 2003",Lei nº 10.667/2003,1
"CF/88, Lei nº 10.667/2003 art 6º, Lei nº 10.667/2003 art 7º","Lei nº 10.667/2003 art. 6º, Lei nº 10.667/2003 art. 7º",1
"CF/88, Lei nº 10.684/2003",Lei nº 10.684/2003,1
"CF/88, Lei nº 10.697/2003, Lei nº 10.698/2003","Lei nº 10.697/2003, Lei nº 10.698/2003",1
"CF/88, Lei nº 10.826 2003",Lei nº 10.826/2003,1
"CF/88, Lei nº 10.826/2003 art. 4º",Lei nº 10.826/2003 art. 4º,1
"CF/88, Lei nº 10.833 2003, Lei nº 8.631 1993","Lei nº 10.833/2003, Lei nº 8.631/1993",1
"CF/88, Lei nº 10.858 2004, Portaria MS 111 2016 art 38 § 3º, Portaria MS 111 2016 art 42","Lei nº 10.858/2004, Portaria MS 111 2016 art. 38 § 3º, Portaria MS 111 2016 art. 42",1
"CF/88, Lei nº 10.861 2004, Lei nº 12.871 2013","Lei nº 10.861/2004, Lei nº 12.871/2013",1
"CF/88, Lei nº 10.861/2004",Lei nº 10.861/2004,1
"CF/88, Lei nº 10.871/2004 Art 34",Lei nº 10.871/2004 art. 34,1
"CF/88, Lei nº 10.871/2004, Lei nº 11.292/2006","Lei nº 10.871/2004, Lei nº 11.292/2006",1
"CF/88, Lei nº 10.887 2004 Art 16 A",Lei nº 10.887/2004 art. 16-A,1
"CF/88, Lei nº 10.887/2004",Lei nº 10.887/2004,1
"CF/88, Lei nº 10.887/2004 art 16 A, Lei nº 18.877/2004 art 16 A","Lei nº 10.887/2004 art. 16-A, Lei nº 18.877/2004 art. 16-A",1
"CF/88, Lei nº 10.887/2004, Lei nº 12.618/2012","Lei nº 10.887/2004, Lei nº 12.618/2012",1
"CF/88, Lei nº 10.893/2004 art 14 V c, Lei nº 10.893/2004 art 5º","Lei nº 10.893/2004 art. 14 inc. V al. c, Lei nº 10.893/2004 art. 5º",1
"CF/88, Lei nº 10.910/2004",Lei nº 10.910/2004,1
"CF/88, Lei nº 10.910/2004 art 2º F, Lei nº 11.890/2008 art 160, Lei nº 11.890/2008 art 2º","Lei nº 10.910/2004 art. 2º F, Lei nº 11.890/2008 art. 160, Lei nº 11.890/2008 art. 2º",1
"CF/88, Lei nº 10.931 2004",Lei nº 10.931/2004,1
"CF/88, Lei nº 10.937 2004",Lei nº 10.937/2004,1
"CF/88, Lei nº 10356/2001, Resolução 146/2001","Lei nº 10.356/2001, Resolução 146/2001",1
"CF/88, Lei nº 10848 2004",Lei nº 10.848/2004,1
"CF/88, Lei nº 11.000 2004",Lei nº 11.000/2004,1
"CF/88, Lei nº 11.000/2004, Lei nº 12.514/2011","Lei nº 11.000/2004, Lei nº 12.514/2011",1
"CF/88, Lei nº 11.101/2005",Lei nº 11.101/2005,1
"CF/88, Lei nº 11.101/2005 art 6º § 7º",Lei nº 11.101/2005 art. 6º § 7º,1
"CF/88, Lei nº 11.182/2005, RBAC 61","Lei nº 11.182/2005, RBAC 61",1
"CF/88, Lei nº 11.343/2006 Art 28, Lei nº 11.343/2006 Art 33","Lei nº 11.343/2006 art. 28, Lei nº 11.343/2006 art. 33",1
"CF/88, Lei nº 11.343/2006 Art 33, Lei nº 11.343/2006 art 40 I","Lei nº 11.343/2006 art. 33, Lei nº 11.343/2006 art. 40 inc. I",1
"CF/88, Lei nº 11.343/2006 Art 33, Lei nº 11.343/2006 art 40 I, Lei nº 3.373/1958 art 5, Lei nº 4.117/1962 art 70","Lei nº 11.343/2006 art. 33, Lei nº 11.343/2006 art. 40 inc. I, Lei nº 3.373/1958 art. 5º, Lei nº 4.117/1962 art. 70",1
"CF/88, Lei nº 11.343/2006 art 2º parágrafo único",Lei nº 11.343/2006 art. 2º § único,1
"CF/88, Lei nº 11.343/2006 art 33 §1º II",Lei nº 11.343/2006 art. 33 § 1º inc. II,1
"CF/88, Lei nº 11.343/2006 art. 62 § 4º",Lei nº 11.343/2006 art. 62 § 4º,1
"CF/88, Lei nº 11.344 2006",Lei nº 11.344/2006,1
"CF/88, Lei nº 11.357/2006, Lei nº 11.784/2008","Lei nº 11.357/2006, Lei nº 11.784/2008",1
"CF/88, Lei nº 11.358 2006, MP 305 2006","Lei nº 11.358/2006, MP nº 305/2006",1
"CF/88, Lei nº 11.358/2006",Lei nº 11.358/2006,1
"CF/88, Lei nº 11.358/2006, Lei nº 8.627/1993, Lei nº 9.654/1998, Medida Provisória 1.704/1998","Lei nº 11.358/2006, Lei nº 8.627/1993, Lei nº 9.654/1998, MP nº 1.704/1998",1
"CF/88, Lei nº 11.382 2006",Lei nº 11.382/2006,1
"CF/88, Lei nº 11.415 2006 art 14, Lei nº 11.415 2006 art 14 § 2º","Lei nº 11.415/2006 art. 14, Lei nº 11.415/2006 art. 14 § 2º",1
"CF/88, Lei nº 11.416/2006 Anexo II, Lei nº 11.416/2006 art. 13","Lei nº 11.416/2006 Anexo II, Lei nº 11.416/2006 art. 13",1
"CF/88, Lei nº 11.416/2006 Art 16 § 2º",Lei nº 11.416/2006 art. 16 § 2º,1
"CF/88, Lei nº 11.421/2006 Art 1°",Lei nº 11.421/2006 art. 1°,1
"CF/88, Lei nº 11.430/2006",Lei nº 11.430/2006,1
"CF/88, Lei nº 11.457 2007, art 24 Lei nº 11.457 2007","Lei nº 11.457/2007, art. 24 Lei nº 11.457/2007",1
"CF/88, Lei nº 11.457/2007 art 24, Lei nº 12.844/2013, Lei nº 9.430/1996 art 73 parágrafo único","Lei nº 11.457/2007 art. 24, Lei nº 12.844/2013, Lei nº 9.430/1996 art. 73 § único",1
"CF/88, Lei nº 11.457/2007 art 32",Lei nº 11.457/2007 art. 32,1
"CF/88, Lei nº 11.457/2007 art 3º § 2º",Lei nº 11.457/2007 art. 3º § 2º,1
"CF/88, Lei nº 11.488 2007",Lei nº 11.488/2007,1
"CF/88, Lei nº 11.494/2007, Portaria 952/2007","Lei nº 11.494/2007, Portaria 952/2007",1
"CF/88, Lei nº 11.671 2008",Lei nº 11.671/2008,1
"CF/88, Lei nº 11.738 2008, Lei nº 12.772 2012","Lei nº 11.738/2008, Lei nº 12.772/2012",1
"CF/88, Lei nº 11.771/2008, Lei nº 14.148/2021, Portaria ME 7.163/2021","Lei nº 11.771/2008, Lei nº 14.148/2021, Portaria ME 7.163/2021",1
"CF/88, Lei nº 11.772/2008",Lei nº 11.772/2008,1
"CF/88, Lei nº 11.788 2008",Lei nº 11.788/2008,1
"CF/88, Lei nº 11.890/2008, Lei nº 7.834/1989","Lei nº 11.890/2008, Lei nº 7.834/1989",1
"CF/88, Lei nº 11.907 2009",Lei nº 11.907/2009,1
"CF/88, Lei nº 11.907/2009 art 175",Lei nº 11.907/2009 art. 175,1
"CF/88, Lei nº 11.907/2009, Portaria 1.726/2010, Portaria 4.040/2010","Lei nº 11.907/2009, Portaria 1.726/2010, Portaria 4.040/2010",1
"CF/88, Lei nº 11.936 2009",Lei nº 11.936/2009,1
"CF/88, Lei nº 11.941 2009",Lei nº 11.941/2009,1
"CF/88, Lei nº 11.960/2009",Lei nº 11.960/2009,1
"CF/88, Lei nº 11000/2004",Lei nº 11.000/2004,1
"CF/88, Lei nº 118/2005, art 4º da Lei nº 118/2005","Lei nº 118/2005, art. 4º da Lei nº 118/2005",1
"CF/88, Lei nº 12.016 2009, Lei nº 8.437 1992","Lei nº 12.016/2009, Lei nº 8.437/1992",1
"CF/88, Lei nº 12.016/2009, Lei nº 9.494/1997","Lei nº 12.016/2009, Lei nº 9.494/1997",1
"CF/88, Lei nº 12.089 2009",Lei nº 12.089/2009,1
"CF/88, Lei nº 12.158 2009",Lei nº 12.158/2009,1
