ID_novo,ramo,numero_processo,tipo_de_processo,relator,data_julgamento,link_1,fonte_html,texto_citacao_raw
25965,Mandato eletivo,1439,Cta,Min. Caputo Bastos,8/30/2007,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=1439/processoClasse=CTA/decisaoData=20070830,local,"(Res. nº 22580 na Cta nº 1439, de 30.8.2007, rel. Min. Caputo Bastos.)"
25966,Mandato eletivo,1554,Cta,Min. Felix Fisher,8/14/2008,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/31095,local,"(Res. nº 22893 na Cta nº 1554, de 14.8.2008, rel. Min. Felix Fisher.)"
25967,Mandato eletivo,1678,Cta,Min. Marcelo Ribeiro,4/7/2009,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=1678/processoClasse=CTA/decisaoData=20090407,local,"(Res. nº 23035 na Cta nº 1678, de 7.4.2009, rel. Min. Marcelo Ribeiro.)"
25968,Mandato eletivo,1695,Cta,Min. Ricardo Lewandowski,10/27/2009,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=1695/processoClasse=CTA/decisaoData=20091027,local,"(Res. nº 23176 na Cta nº 1695, de 27.10.2009, rel. Min. Ricardo Lewandowski.)"
25969,Mandato eletivo,1720,Cta,Min. Fernando Gonçalves,9/24/2009,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=1720/processoClasse=CTA/decisaoData=20090924,local,"(Res. nº 23148 na Cta nº 1720, de 24.9.2009, rel. Min. Fernando Gonçalves.)"
25970,Mandato eletivo,173,Cta,Min. Nilson Naves,5/30/1996,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/11858,local,"(Res. nº 19579 na Cta nº 173, de 30.5.96, rel. Min. Nilson Naves.)"
25971,Mandato eletivo,1838,Inst.,Min. Cândido Mesquita da Cunha Lobo,6/6/1960,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/7969,local,"(Res. n º 6474 na Inst. nº 1838, de 6.6.60, rel. Min. Cândido Mesquita da Cunha Lobo.)"
25972,Mandato eletivo,2,Cta,Min. Torquato Jardim,6/29/1995,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/7363,local,"(Res. n º 19319 na Cta nº 2, de 29.6.95, rel. Min. Torquato Jardim;"
25973,Mandato eletivo,24,Cta,Min. Costa Leite,11/9/1995,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/14183,local,"(Res. nº 19383 na Cta nº 24, de 9.11.95, rel. Min. Costa Leite.)"
25974,Mandato eletivo,2767,Pet,Min. Carlos Ayres Britto,12/18/2007,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=2767/processoClasse=PET/decisaoData=20071218,local,"(Res. nº 22686 na Pet nº 2767, de 18.12.2007, rel. Min. Carlos Ayres Britto.)"
